Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-1.1445562416681039,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.11812452600367562,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.8901514140717695,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.036514366587434566,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.9202014308435504,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11467657355960537,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.8870082652773692,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.053372672947466726,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.1021667826409196,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17641147450895767,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.617190852396811,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.11758300999650195,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.7862660702087934,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.06851399120077617,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-1.1845128956011761,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.1231512965915198,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.649995765217216,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.010299484279501114,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-1.1508565790320096,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.1903548090875098,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.3217818819939664,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.013606675411917957,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.954254268580442,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.06185182131360967,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-1.1259316947823934,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.0468369913682648,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.8022304853207363,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.08448018551934411,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.2947751661806284,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.04242279286878958,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.8660748212122449,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.007699064497277863,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.7033931902136676,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.024903337227393574,94
BiomedParse (MEAN),Radiomics,Wound Healing,-1.1962424580763016,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.1621270090389908,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-2.818630366480504,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.18473580541587897,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.993602120116165,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.110374089533531,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.6518285509627515,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1830136585526696,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-1.2715530980475802,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.3697181518347925,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.8773462757783586,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.04305046742584118,94
pyradiomics (MEAN),Radiomics,Wound Healing,-1.0052948059072406,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.15733952994165623,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.3849716743315352,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.07675457509883299,94
