Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.04681380096835741,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.6029386200398117,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5899083050937322,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.0054786118896950065,311
CONCH (ABMIL),Pathomics,Inflammatory,0.5378448484019722,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5217072605316766,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-1.109842198417971,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.18360198397600247,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.16854078492798408,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.27172224196698735,214
UNI (SPARRA),Pathomics,Wound Healing,0.30663547107030165,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2937679129049465,214
