Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3359966907783911,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.08016073295838488,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2550820100362625,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3999468081862684,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4436798284443415,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18107832905929522,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.25368608476258825,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.46484309234051346,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48092655484528546,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.19982669327836589,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2501110010932942,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5364620888922853,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.36120340064662404,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.0391218906448692,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3005552916606071,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.029822045387955298,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.28774854745870515,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.0252379530500675,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4080288780652517,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.006876759994627557,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.406713998309722,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.04670630809744325,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.29656666392133213,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.41961120309801936,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5262662159697141,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2277276249511755,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3425611949253027,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5129364391046206,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.46607034991431306,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08344017827927885,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2654491303175669,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4957325718905108,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.30960053431370826,267
