Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.7146553753963623,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.0028371647603316896,267
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.08011033404762435,267
LVMMed (MEAN),Radiomics,Inflammatory,-0.00976714321423744,311
UNI (SPARRA),Pathomics,Inflammatory,0.3655070947499711,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.36057508946498584,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.09123795528543188,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.15811283080390748,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18945548540715684,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.5083299421994794,214
UNI (SPARRA),Pathomics,Wound Healing,0.058800695123429225,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.040957768493037006,214
