Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.27858933332074876,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.10554956726315701,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.16194339904489485,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.20356628289044554,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.08831986099305245,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.02577122519425812,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.09311799841332946,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2982193083039697,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.05640176048206369,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15376856243207093,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.030861716705591125,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3047422192009065,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.9305913842448996,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.1290250205341681,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.5083299421994794,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.015372025032096115,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.810691485259283,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.09123795528543188,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.581609861313996,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.08065402900571783,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.1027943576829935,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.010259903370055334,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.007640938558453936,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.25350920192317183,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.019307276948958174,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.13298546925836185,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.03033232227682303,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.36057508946498584,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.03649466429536852,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.14818911118777822,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.031670388404594796,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.3214935229390654,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.7956869977806456,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.0955468412518441,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.5863795103022338,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.018682330374804934,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.2986904931893832,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.36688598633064773,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.197994069526552,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6926318502970059,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.20286082062455035,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.015002278421782922,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.1219753418858931,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.1870249484190556,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.8106353459291886,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.13155058071006653,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.5498323617342118,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.01767140896795527,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.2245914064637271,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.033294927230896665,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.058610087602360306,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2680620722255479,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.2784215505716283,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1354683301502262,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.15147020355263918,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.1789535918124886,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.08862235226522053,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.07568618563325025,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,-0.11259557713996848,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.24537525624632162,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.11550186637195159,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.048406811352658674,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.21058435930456065,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.159203918053341,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.3067731644277396,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1054130581305106,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.16057049542484525,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.21384254436479433,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,-0.09498097894172663,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,-0.020842025180867862,94
CHIEF (SPARRA),Pathomics,Wound Healing,-0.06340193589267873,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.26664666215858723,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.18376293570741176,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.137273810333999,94
