Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.2102234978183659,267
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.4029816848141754,267
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.42507520293697376,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.061628151069438086,311
UNI (SPARRA),Pathomics,Inflammatory,0.42162736231238984,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.41273700169059646,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5950616696195312,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.21969585101654865,94
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2067660166600641,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.1602352093388315,214
UNI (MEAN),Pathomics,Wound Healing,0.35455370245372697,214
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3542933654332019,214
