Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.24407568009226788,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.07303342622672582,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2649453396227547,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2864306566627607,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.36775593149191743,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18117105222901742,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.25714820919890036,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3790947108050564,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3511203059250265,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.10131938787239614,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.27692542967532374,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4086460088720244,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.2937964965933173,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.9523681405164446,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.1602352093388315,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.052204832970560666,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.418749155750767,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5950616696195312,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.21445198238584662,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09920319731187144,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3542679766521786,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.031003129606132385,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3542933654332019,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3230022619004812,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.38087904123209704,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1797062530576865,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3221356228192501,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.41273700169059646,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3286042030912375,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.0744833973944653,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3032778985623734,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.36572330868303915,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.26375847883753467,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.8832965981302754,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.18311915252047872,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.061628151069438086,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5782347484618322,267
