Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.16811896423277095,267
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.44593034939968446,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4146066317519216,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.024775738271682224,311
CONCH (ABMIL),Pathomics,Inflammatory,0.36061430434051167,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.34120424781097636,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.8929954129995641,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,-0.00031230932332215744,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.026868412302438305,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.1966140616018175,214
UNI (SPARRA),Pathomics,Wound Healing,0.2777383722577894,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.245059744704494,214
