Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.24595304221793113,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.25760680989012164,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1839331074828532,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.1941414855471193,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3414742149668023,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.026868412302438305,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.09974808124586065,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.25498866274476917,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3833880996551321,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.07427784893998357,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.13232567594784328,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.30787023559215354,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.23992909488697078,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.1037237582152981,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.26084543004682326,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.024775738271682224,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.2985484995525165,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.8929954129995641,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.25250202458476045,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.04414834169894677,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3331410236728801,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.27612448865136985,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.22590761770841372,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2393286622032711,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4146066317519216,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.050779423696099446,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2329846363921525,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.32503441643424424,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.350809037794962,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.06055235261704173,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.22003053461263844,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2977513344788707,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.27171273181362343,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-1.0062449768906752,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.22298330674554712,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.027460388608364417,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.7595786335450347,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.7307916795371354,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.1194780155570494,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6877879672002967,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.19018359992052192,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.333778137139626,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.06345984146155348,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.23251906226649777,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.16811896423277095,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.1074712574951064,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.23416163064563733,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.06465667188908264,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.28848847899483865,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.3711733241947135,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.21491982972067047,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2733527180904688,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2325815642038318,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.442000558256741,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.0818234689586681,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.15440929661504987,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3271812077582136,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.21301429644340963,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.10823601617861778,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.22550438370668346,311
