Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.19709681002185764,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.006969537520793878,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2883476118133398,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2154769352263627,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.26491067289779524,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.10635097499575685,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2875537784544736,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.24627549570207763,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2334080449040733,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08180825751326526,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2778414423479274,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.19667677378783455,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.15571211364639148,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.19366148079392542,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.009123962104484629,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.034727053237089245,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.23938946619381718,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.07333127654028915,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.04612532838098604,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.07568115428478328,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.28319646950313637,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.04106862667844702,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.30538119442561873,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2489475901442597,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2762243245129592,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.07454292763585224,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2952503271264535,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2769272641547943,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1671076184048833,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.18657574588189096,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2827241591062011,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.23332104557940436,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.116478301268514,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.195379777594193,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.010413077237990898,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.10359227323091325,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.4906259238958852,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.9492235818360173,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.4395259512615002,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.828913671788484,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.12081303614040173,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1792766296123176,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.19108289663705358,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.16460883509824065,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.1112200834672239,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.4041348186606313,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.13547214157639598,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.006184230372507482,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.23722296821981925,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.06693408374483356,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-47.29965973579485,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.25117498598707966,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.22042650245423223,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.07765573319181174,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.21739895500589446,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.18465584688637426,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2672073274281497,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1208175514992238,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.20778514603591824,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.23193495978908318,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.22051741708433004,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.0017421604684405567,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1594946531017294,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.06957033578500882,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.21919759540048922,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.10392903776244755,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.20228925187213098,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.18908183129391143,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.2956705404864679,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.14782691199807396,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.22020494833282667,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.2661478168521395,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.22450908771761002,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18115403723007106,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2521112381154289,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.22504185464101123,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.183888100167127,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.42777218585289645,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.040003472043424804,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,-0.18476704296606616,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.24981817332932843,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.10223889602369363,94
CHIEF (MEAN),Pathomics,Wound Healing,0.1923314930887846,214
CHIEF (MEAN),Pathomics,Inflammatory,0.20594170131118683,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.2544441726665144,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.032138502009438685,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.14786317731691112,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.06360357010384388,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.15973663286861028,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.20678287131249018,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.006020904567338281,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.17076147042854128,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.14939224075283097,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.279423205602487,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.050214744069328576,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.11952335920666579,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2264611429410801,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.128163606966613,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.2022651670527017,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.15154219342353092,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.29388250409397654,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.11205462451659665,94
UNI (SPARRA),Pathomics,Wound Healing,0.2818330543692882,214
UNI (SPARRA),Pathomics,Inflammatory,0.2944496725433855,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.29865955534840893,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.04900808255439004,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.2646703435292205,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.19262244863182876,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.6519967773857225,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.10196702877433506,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.034496089152754816,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.05503282187590586,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.2905170544877588,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.08595340453732625,94
UNI (MEAN),Pathomics,Wound Healing,0.2963748891039911,214
UNI (MEAN),Pathomics,Inflammatory,0.24656193371070712,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.17214614543954498,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.29829220974341486,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.06620969167552504,214
LVMMed (MEAN),Radiomics,Inflammatory,0.09694565911214237,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.2012403065267906,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.1356664426709807,94
UNI (ABMIL),Pathomics,Wound Healing,0.24701955072665593,214
UNI (ABMIL),Pathomics,Inflammatory,0.19878125280875258,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.026290722999351424,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.4502397054949234,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.1616758842697208,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.001956164091782564,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.19500845049521665,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.016375261237561833,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.2473614418976121,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.2483181661046766,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.2540595905089599,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.17934612598391575,94
CONCH (SPARRA),Pathomics,Wound Healing,0.30994600123211413,214
