Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.016086651188994994,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.4321194444371087,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4239340195336455,267
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09696886207253685,311
CONCH (SPARRA),Pathomics,Inflammatory,0.27051560439795075,311
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.2921821791004864,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.03554899266411238,94
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.4273615412432751,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.44701289964069846,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.14841381762127204,214
CONCH (SPARRA),Pathomics,Wound Healing,0.49867113607017666,214
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4944330802133905,214
