Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3531108496702827,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3662318902861489,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.4536876258778475,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.27122185106536245,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.378268058524592,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3991552829845665,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.477424444700132,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.23757567077962038,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.29674333566283795,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3820870496452765,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.4583627231011368,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.2543560564687991,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.05516305089823814,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.006318646879477585,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.14841381762127204,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.12746961172366467,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.03103623793699306,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.03554899266411238,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.14618135602433469,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09696886207253685,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3494416242795412,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4290438668314309,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4944330802133905,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.21209284459394206,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4239340195336455,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.44701289964069846,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.49379681602526915,214
