Model,Omics,Subtype,R2,N
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.7003150228778658,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.19908867459478274,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.18198801324652836,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.04593883081457495,311
UNI (SPARRA),Pathomics,Inflammatory,0.43626544489011276,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.42319279049645375,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.36852290077989136,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.20842869646731554,94
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.22024188381438825,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.4867561355377181,214
UNI (SPARRA),Pathomics,Wound Healing,0.11366414124953406,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.101954001719882,214
