Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.07816160594938304,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.06699542265781355,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.06862277744494816,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.30868354141457754,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.059773200199457754,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11361758826761537,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.006005997826144971,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.39485427465866485,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.16167951726354957,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.18193133336279943,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.005234324484464592,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3965909324747666,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.8579280231773185,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5303916078150388,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4970997257165992,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.03009841008439973,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.7003150228778658,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.4615335433589338,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5393662266344517,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.03115195130528181,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.07459220190723026,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.00392192743138986,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.052525011517901676,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3467639033529153,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1503323257408865,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1304182653168342,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.101954001719882,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.42319279049645375,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11151051813138979,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.057481249082895314,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.02185635764954208,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.396073253330254,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.7608668402266374,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.36852290077989136,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.5217932955886111,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.04593883081457495,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.2912684173570121,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.7084533064062752,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.371571799906476,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.8541690304823824,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.028362837767817783,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.06914265270152464,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.2352831501033381,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2592383630973485,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.7340685408846526,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.5399237158223642,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.503100308078934,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.0016165681527176012,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.045493039802201096,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.02087739547443923,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.03928477015008669,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.33513855704439344,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.09758802145618461,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.14963212337556997,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.13527150081500228,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.2907042730506926,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.0737564358675431,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.10001632667988658,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,-0.08820076147608913,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.37032456708567607,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.02798159721155047,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.221520173143406,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.2252097657805281,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.237806813372613,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.1363444237378515,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1373005864702681,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.1535658442010075,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3355536914711972,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.0929452421288085,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,-0.06006718305649428,94
CHIEF (SPARRA),Pathomics,Wound Healing,-0.04390910252738345,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.39083662575401745,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.03762977368790765,267
