Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.12959565114649785,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.14990956486735152,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.01801230050922853,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4044058363385358,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.28619638087616595,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.296336976552774,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.07933839709489554,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4529751617719504,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.32134988138789555,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3586722883147764,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.11063408411284625,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5201644217390766,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.5395382780597238,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.4817309598083419,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.6031983436912689,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.0628787828376085,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.41429854689342305,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.46949873930155217,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.676429691909677,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.06324541728449251,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18598674971686502,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.19989068722185366,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.09329673124039495,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.41693255496672266,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3401427183555512,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3186943392663596,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.1652443196035328,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5012026248593102,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2705406852104001,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.200227904390904,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.09198320064231436,214
