Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.12120125643099622,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.1531319463664601,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.07620798473027812,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.06931120001531621,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.14882343833627298,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19306608292148764,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.12201730169493363,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.014646529037214195,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.15229978652910126,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17047725942846004,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.039964042483537465,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.05931489121313427,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.14085250493717605,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.0007982694855888095,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.09028172982004956,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.4937541584887919,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.15496991988439346,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.027877418990619462,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.07354135436091469,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.7526539432447401,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.14476904061234963,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13391844777277484,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.13165293126953492,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.0739544981821707,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.19411417518254503,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18494399363342784,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.13101754332540583,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.048595634390656506,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.21054743388441155,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2156107895028223,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.07969060769547531,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.06100065950490885,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.15066186158058792,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.0030448229944746164,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.12272396260285356,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.49848760559076766,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.6085059428464596,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.13782883062819984,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.6196174080994907,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.4080531320101026,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.04688684324966619,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.016610131552733498,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.026762413309420974,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.11580363107364855,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.33455634295263126,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.056116184444236605,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.09172411529128444,214
pyradiomics (MEAN),Radiomics,Inflammatory,-1.131217186390741,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.11065084711709239,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13801639264997456,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-106.08497388351239,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.13724944183614673,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.11499046536982027,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.1870052421127547,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.09606954621768682,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.04949081539386757,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16902950686243867,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18734110414678895,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.1622637960755795,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.020799187329697544,311
