Model,Omics,Subtype,R2,N
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.8237278791608262,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.06514100350119989,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.038943974964168904,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.05469328289823383,311
UNI (SPARRA),Pathomics,Inflammatory,0.35700105984900077,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.34898247211609246,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4202450285308752,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.21072598006086218,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1965148524760192,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.3381528788557844,214
UNI (MEAN),Pathomics,Wound Healing,0.08411028564688128,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.06994397326638369,214
