Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.17366507349418203,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.02241217168109233,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.05364245526404421,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.22780570085118057,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.028871570603103414,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08305235961854707,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.04247793932567867,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3122080125214234,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.01571166527863399,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.09625704840623006,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.046824550029216816,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3299198387730675,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.890468867693051,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5924447101608352,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4938753387859163,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.08583386499423629,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.8237278791608262,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5028870919365596,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4499661841286271,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09496880545708342,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.09508864754691215,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.12710543183154754,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.04226691485120804,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.22605940928353285,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.038943974964168904,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19200587675697756,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.06994397326638369,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.34898247211609246,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.04632732984537791,267
