Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.15331681161284383,267
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.5709187181302062,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5613471655335558,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.07260982976677444,311
UNI (SPARRA),Pathomics,Inflammatory,0.5270802880826488,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.5325701075797511,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.3574025686121316,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.40506002887833714,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3878801365447855,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.19099152866020297,214
CHIEF (ABMIL),Pathomics,Wound Healing,0.6144709197635889,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.6034392278672474,214
