Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4830805562421826,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2550463101258138,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.5176084017148015,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.34488943063723043,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4965351648262063,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.302378932222671,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5201438998250292,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.40662380945996035,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.556996805466518,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3572712111241352,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5171295062036269,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4596673798688875,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.12016220680727263,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.39533517439077426,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.1457196848418577,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.07260982976677444,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.13624778207304478,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3897590654538765,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.15909748639396593,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.031696576310203284,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5166377423034266,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2804650782356689,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.5650879170130274,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4331503155150358,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5613471655335558,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3878801365447855,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.5492927310455709,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5288207738396262,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5447788714450597,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.339779907123263,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.5587366696991345,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.44023443033896237,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.15331681161284383,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.3574025686121316,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.19099152866020297,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.05191167166936539,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.1337651932602677,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.6002164990137555,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.14098987778564154,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.2557099982507516,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4952755797203211,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.279488605287628,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.5560928004310454,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.39770121574285344,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.05660426025545506,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.5345756264185031,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.08679377130254018,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.009825415959650696,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.39695937640339474,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.23736078180903863,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.5372465536896631,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4055710426957594,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.45608848167404015,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.2104399917952564,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.5653312866235212,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3891564146286407,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4831291445040976,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.330083503782994,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.6010747580021119,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.45968112110251036,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5145618830661658,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.34580800167828774,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.6034392278672474,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.38277396859098956,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.45171542252977814,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.2650152478809833,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.5569533470022283,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.38343361146612986,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.49655872444242977,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.33286701237230987,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.6030314955836069,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.46547351568199313,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.45917374517384335,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3260375031646289,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.5944372939768372,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4640565462841383,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48452363351754213,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.27344049480759014,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.5686959899767572,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3767229214335852,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.45550282927664876,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.21550189689956567,94
CHIEF (MEAN),Pathomics,Wound Healing,0.5704220420245045,214
CHIEF (MEAN),Pathomics,Inflammatory,0.383193977826648,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.51934732062556,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.3672010867562264,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.6144709197635889,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.40964142525386626,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.05867272869346818,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.47782989516730123,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.09299005075699218,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0008098193496155481,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.023402596647455143,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.6535473638210927,94
LVMMed (ABMIL),Radiomics,Wound Healing,0.04424846904553892,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.00027530442218859363,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4873801903494178,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3309911958002534,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.5669689997170145,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.42950644704772345,311
