Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.36382388164908963,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2973475270606952,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.39843314890350545,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.5054736672995953,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4081825670432997,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3653100198293674,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.41908666573945563,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5537355713972484,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4500088933446025,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.36929637636970203,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3766772147628529,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5729678323438976,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.09485108921238383,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.8740021805831275,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.08617152762640468,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1594214120552946,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.09084772570158361,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.9632795204354927,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.06755849595734065,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.17742642937027975,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.37233620572781134,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3035355756952841,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4242252972347499,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5551046001678022,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.411475184668571,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39499383835143165,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.407549713821724,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.6063064142580565,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.417979106291559,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.296170719259887,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.4048398964780239,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5517559862927796,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.12195858685660566,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.6432936435703398,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.1414559421730297,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.18307723003964838,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.06249786195817064,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.0348695849720193,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.09725394473711058,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.06503065732900781,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.40137082037196037,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.42500907522654063,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.4217180966495042,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5642791739760227,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.012251864229689269,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.2632875410536704,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.044259390756984374,214
pyradiomics (MEAN),Radiomics,Inflammatory,0.01204489654071006,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.25776688244009505,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.14157496207553788,94
