Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.04206731632503313,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5977858534723068,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5962935116546739,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.0665028747989902,311
CONCH (ABMIL),Pathomics,Inflammatory,0.5659377872138363,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5495990083220161,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.9144240314189394,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.22524378216684082,94
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2644700242780561,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2982595542384918,214
UNI (SPARRA),Pathomics,Wound Healing,0.2641467186546017,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2591794928484089,214
