Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.42902609820577886,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.014776407274779801,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1975067372307715,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.43948085825979244,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.529955951192927,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2389329041741589,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.20399365736160124,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4937498281533492,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5608273257232503,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.23384764667592395,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.17782020416208832,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5495990083220161,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.17743529002869196,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.1520182333989362,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3337752022067213,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.008409580753399704,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.11978619697186921,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.0274029439676644,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4446541421106942,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.038207849988168285,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4828113532070175,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.046425444787449255,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.22060312033294482,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4137410145656186,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5962935116546739,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18876063118003528,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2591794928484089,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.52738823988733,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5179519797308496,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.06532765804049556,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.18935755737021043,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.49051965440654466,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.12510151529593627,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.9144240314189394,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2982595542384918,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.0665028747989902,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5761922193822777,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.882960007094181,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.2860802248669794,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7247348941944121,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.48005085340815445,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.004071810657655828,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.08135417542610068,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.4020675460711999,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.07840362585000515,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.6402702842384929,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.4926926006916168,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2500513935623354,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4353514557451508,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.06053734036500669,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.18367787002108193,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.44872943674934884,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.4031788489353624,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.0990053034405376,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.13042252498846718,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3896816313207929,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5061623813801828,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11560284274178123,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.24276575542313916,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.45925853523875804,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4507614483449881,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.05039536917155085,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.2118270541300984,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.4766996402149486,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.42536615850244364,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.016675440801265484,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.134081265602903,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.39826525651235234,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.5234075450203792,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.11376936005822957,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.25598566200605155,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.4709165360278378,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5169708145475735,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1577907543054642,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.24027326966017082,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4431609616572496,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4702216324760524,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.05737666309033895,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.20515147471645068,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.42649014965714616,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.4342412727324505,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.11415319602883,94
CHIEF (MEAN),Pathomics,Wound Healing,0.13634169619353664,214
CHIEF (MEAN),Pathomics,Inflammatory,0.40443412774618337,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.45187054930644155,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.06711710699076989,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.22711412844729972,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.4851614834999103,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.052816504233173855,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-1.0385747170733675,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.3452081818696051,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.03732300582947601,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.04206731632503313,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-1.2238741408454872,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.4325603841182091,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.01163669408054313,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5063581629787373,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1439914032685925,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.1699592178461128,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.4239687483117095,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5977858534723068,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.21964180808989264,94
UNI (SPARRA),Pathomics,Wound Healing,0.2641467186546017,214
UNI (SPARRA),Pathomics,Inflammatory,0.5259902814864255,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5925242999630217,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.24232841430338503,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.25069531824047997,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.5159926816731254,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5656190890689198,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.03713538678211781,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.17894690976517635,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.49862800124469064,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.4853204457261503,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.0469030096374754,94
UNI (MEAN),Pathomics,Wound Healing,0.2486632130877895,214
