Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.25677197453360767,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.018969526846108975,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1601273553081396,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.40683539554635073,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3710275951523032,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.17293234080918474,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.18961569024472968,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.45511861035785717,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3938822010626878,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.24364646536837908,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.17424744633020894,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5149167034847998,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.2245831355336545,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.774923190064231,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.40898522000245574,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.032561452085060116,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.19585451575503265,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6120714503989839,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.49378482407500224,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.0365302021253332,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3525114564554479,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.02690262046043923,94
