Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.03131116786852295,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5781701716244537,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5703671048363497,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.01150103132752578,311
CONCH (ABMIL),Pathomics,Inflammatory,0.5009484247211068,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.48025921546044703,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5537833929477058,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.37232639399739087,94
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3663848718592614,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.26517647726711635,214
UNI (SPARRA),Pathomics,Wound Healing,0.30013743611012067,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.29343876270685854,214
