Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4215382586206641,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.14431519326983333,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.25386362932700646,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3601859066907134,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5035423720708717,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3426795617121614,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.22818934027358184,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.42010467422071207,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.514767841402002,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3490867852979723,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.21870161431644297,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.48025921546044703,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.12008919201388557,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7250129996300554,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.31359478502108185,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.022218686816537048,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.10731957652645585,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6549498247015699,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.38344578231726634,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.03239325781288027,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4706164409834471,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2281250831884465,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2772083153395104,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.35853238045850133,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5703671048363497,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3658298023374903,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.29343876270685854,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.46146449855438576,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4984785896240468,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.27621366863338404,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.20973504065650306,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.44261144535942953,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.10846042302942571,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5537833929477058,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.26517647726711635,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.01150103132752578,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5567194422874946,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.439148829221426,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.1658629287982958,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6987862197206554,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.44573297230184483,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1692087248809866,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.1459471962407065,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.34735574585593354,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.06711034694800855,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.0483613280978754,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.37068195843410745,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.17282562129314782,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4331896667454864,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13345513020141608,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.2634858730409553,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.3831279135616795,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.40389551060661,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.0807656443418403,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.19325865326486613,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.31807212758210024,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4980093479151415,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.282914997781898,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2621962201626278,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.37337246309153604,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.43813451110360724,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.05644911752938675,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.21261757681326654,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.37763273741491277,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.4046825458294002,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.16352467197839515,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1762569448056135,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3172133707455803,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.5118358827027492,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.2766057127754459,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.2868491173684772,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.38682953956204824,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4983646472561495,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.31801840314251095,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2635287164749399,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.35635039212046504,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4427915558114952,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.005689527959620189,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.16580236955027672,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.30563602257439226,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.41463025504160633,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.04223156940451511,94
CHIEF (MEAN),Pathomics,Wound Healing,0.19801493526220426,214
CHIEF (MEAN),Pathomics,Inflammatory,0.3163640521759755,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.44893826265880454,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.08458236055308321,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.24850361505573215,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.4027735630011655,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.039264926022184676,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.6105336342007637,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.3029077808273213,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.049964296537234,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.03131116786852295,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.8272405844019224,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.36715650658148413,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.0021906840145168305,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.48940048099207456,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2579041105360641,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.15717958646703534,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.3911949411289197,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5781701716244537,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.37232639399739087,94
UNI (SPARRA),Pathomics,Wound Healing,0.30013743611012067,214
UNI (SPARRA),Pathomics,Inflammatory,0.46446791660225795,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5681471127330195,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.35439245182225665,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.27709781036647274,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.4599876261060609,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5278072775992219,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.231652849476651,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.20040451049956298,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.4429446754959906,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.47958723705237494,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.24975330942019525,94
UNI (MEAN),Pathomics,Wound Healing,0.29832272370630797,214
UNI (MEAN),Pathomics,Inflammatory,0.36995979131613677,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.05629225328498699,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.6686817989979956,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.3304377841012356,214
LVMMed (MEAN),Radiomics,Inflammatory,-0.04227468118036559,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.5108082974802057,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.2810410507915786,94
UNI (ABMIL),Pathomics,Wound Healing,0.2315654294006969,214
UNI (ABMIL),Pathomics,Inflammatory,0.45783193557647384,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.34973081666435757,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.14007811437051176,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,-0.04704463359253275,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.21189693465799053,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4202500555870907,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2133678194915789,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.21232071058035618,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.37904630902185266,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.5243853179008164,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.34543311973931534,94
CONCH (SPARRA),Pathomics,Wound Healing,0.2302829134270179,214
CONCH (SPARRA),Pathomics,Inflammatory,0.43369332983007647,311
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5222195273184855,267
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3663848718592614,94
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2107545310157376,214
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4209155820161389,311
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48977114157622403,267
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.36432278738647694,94
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.22179894965963431,214
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4243472285648311,311
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.460982675713385,267
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.18625044432939397,94
CONCH (MEAN),Pathomics,Wound Healing,0.2591066646638527,214
CONCH (MEAN),Pathomics,Inflammatory,0.4101323308638648,311
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.5386396145564663,267
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.3541091383576357,94
CONCH (ABMIL),Pathomics,Wound Healing,0.23835128350390566,214
CONCH (ABMIL),Pathomics,Inflammatory,0.5009484247211068,311
FMCIB+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3494582241339247,267
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.012506693103157884,94
FMCIB+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.0021504798924054658,214
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.17300904696850283,311
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4018781463129809,267
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.10150942712392097,94
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.21360322139671317,214
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.35331150128622313,311
pyradiomics+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.30928225282431854,267
pyradiomics+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.040740565363964754,94
pyradiomics+CHIEF (MEAN),Radiopathomics,Wound Healing,0.14734563809250567,214
pyradiomics+CHIEF (MEAN),Radiopathomics,Inflammatory,0.26025980176513563,311
