Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.034311020740464215,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5839619288277278,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5743624957139483,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.008795362779473903,311
CONCH (ABMIL),Pathomics,Inflammatory,0.492305171645823,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4738566139147228,311
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.7832668202961564,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.11942260190281584,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.15511021067890018,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2651007924523139,214
UNI (MEAN),Pathomics,Wound Healing,0.25449881625561255,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.24550459869845132,214
