Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.40342269243229356,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.15867176645752878,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.18823152327604498,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.34776363623984996,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4958880930693752,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08449622712670135,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2039033198325816,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4180369278448781,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5187996149621514,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07728065081298785,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.15732213504200943,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4738566139147228,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.14298274794640586,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.0515445368754759,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3578447525791455,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.04447726883637593,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.2071731725976711,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.8513016611757083,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3712550591299635,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.034221363614881595,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.488116424331133,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.07509140469058218,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.23488475729766667,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.32429971186691575,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5743624957139483,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.10214280402448073,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.24550459869845132,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4550556859638393,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48896987123652147,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.02255779869417096,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.12207468866839488,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.40165792096604247,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.14726625002367055,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.8034767881114724,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2651007924523139,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.008795362779473903,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.636683296639027,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.7465580882809464,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.3268969793881147,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.8585935730355607,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4243184327045195,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.19378128625001567,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.03080347945509765,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.30221642995337994,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.0733605861726303,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.3436575318380886,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.3902877055118681,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.19729442384912654,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.460130775102094,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1484685412333846,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.2002370811027997,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.36524609172271005,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3859283041364392,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.23416613969074662,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.09274690477965408,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.31721105458725174,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.45921109828334883,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.013600733852072056,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.20473361241341526,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.37922061057132184,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.40846731700498706,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.26742397330841916,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.12406467532267351,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.34286212611228406,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3824259022255433,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.12238468273786562,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.10621772260903306,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.31364971792856433,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.48541179175828797,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,-0.05252233944032447,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.2100904515462303,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.40081717537995454,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.44477319920501635,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.03365167764883059,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.18651955018087463,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3305963228420812,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.44166558447956816,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.43162606102576273,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.01992407983450306,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3107808690397974,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.4000225680250681,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.30760742280224096,94
CHIEF (MEAN),Pathomics,Wound Healing,0.09502865780197656,214
CHIEF (MEAN),Pathomics,Inflammatory,0.3297727212866426,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.43836623001961994,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.22558126684079505,94
