Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.08701181306387384,267
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.45013709900404053,267
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4603480763794763,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.22114546678930236,311
CONCH (ABMIL),Pathomics,Inflammatory,0.611922419849945,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.6146992506351612,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.9358713468813868,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.26181613200277265,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.27623505692561445,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.20542667547738558,214
UNI (ABMIL),Pathomics,Wound Healing,0.35966987629548575,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.40588610427440563,214
