Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.42699396348856067,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.11692365922762593,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.35488376862490134,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.5696127334064257,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4121504605901489,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1977825796202951,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3512031612569362,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5971418214422666,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4603480763794763,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.27623505692561445,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3518805176885701,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.6146992506351612,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.08168144151590429,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.0080239111002824,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.15127230451717233,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.21242154284306447,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.07913046573871518,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.058976985208616,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.15575379143304624,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.18784574968244427,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4089083749386335,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13138287317511965,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3641011850327259,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5538958678452879,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43778286206105876,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.16190149866555403,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3565548590563411,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5656656208291662,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3879482627093044,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07725553484255543,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.35898995633499875,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5254174365190754,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.08701181306387384,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.9358713468813868,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.20542667547738558,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.22114546678930236,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.1517282422701074,267
