Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.02176103244154659,267
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.21370061073491775,267
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.22331388211272274,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.22568215202811004,311
UNI (SPARRA),Pathomics,Inflammatory,0.28729856614899574,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2849031314948729,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.16895504499420455,94
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.15269727202366612,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2076077610665552,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.06377869629243738,214
CONCH (ABMIL),Pathomics,Wound Healing,0.22769843463009132,214
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2643681495499731,214
