Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.21778235490355047,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.07692709375602647,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.18499401455000342,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.12280153194754129,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21504950107257725,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08419372884399967,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.16884401770985658,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.12219284094808369,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1595841631721595,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.03752275830308993,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.20722938872456942,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.17222216550630398,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.03050465657157253,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.16895504499420455,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.08459905839715498,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.25567656964319085,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.09236396226657528,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.2216503671097918,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.20435000997340835,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.300453258337813,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.22331388211272274,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.12183159918297504,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.13860512523960578,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.19791442481602284,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.18977496440600783,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09895147841124874,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.17545059723012546,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2849031314948729,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.21616536619481086,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.10021507364213955,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.16736528782090276,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.22943253504038907,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.05158619013119581,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.22139935223719887,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.15074265507773754,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.22568215202811004,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.11316075764548539,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.20498841662947864,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.23996516779213528,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5065929289046363,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.20368532573346576,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13944796890621358,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.12437663439842739,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.21527179902534466,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.1024423720724934,267
