Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3118799549707161,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3198621145957522,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3282472882492986,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.17636682327311215,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3611299257374925,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.25546485835971466,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.40506894637031376,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.26539658527270793,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3688445168933573,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.24766090255447804,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.396818047714145,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3269715262662426,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.22994319874774494,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.27030751535522524,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.14533948140043385,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.7978680743987829,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.35833471477470735,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.2933412637377548,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.23075058267079185,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.9905423626985936,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3377407477420318,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.447064481522899,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3960282512996377,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2097217196952077,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4084163260688003,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.42961010207971695,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.46967228746470235,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.367748639681297,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45617426893836177,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.43206795526179254,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.4300213421086322,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2738921148841337,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.31061543240309253,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.1337465563369984,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2611218340592969,214
BiomedParse (MEAN),Radiomics,Inflammatory,-1.0875827848045092,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.6389998104029593,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.6709968518298843,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.20604302961992849,214
FMCIB (MEAN),Radiomics,Inflammatory,-2.634184937659578,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3409295341083648,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4431495460084547,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.408963066426153,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2119300459219413,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.5064618629132818,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.811672877446705,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.1711620973315422,214
pyradiomics (MEAN),Radiomics,Inflammatory,-2.0380860416179964,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3380549774154967,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4378595088077962,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.40568976298387494,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.21807153219332664,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.26932866147442813,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.32717713917270774,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3537700479825394,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.11099090516050214,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3456060772066747,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3093818716703206,94
