Model,Omics,Subtype,R2,N
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.039936786854027684,213
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.16323638319291311,213
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.18467245204652905,213
LVMMed (SPARRA),Radiomics,Inflammatory,-0.05320153773618408,216
UNI (MEAN),Pathomics,Inflammatory,0.2872441348931748,216
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.28953586280289023,216
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.0462286729144642,75
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.28215773646188125,75
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.3289628196740776,75
LVMMed (SPARRA),Radiomics,Wound Healing,0.025553809294737606,181
UNI (SPARRA),Pathomics,Wound Healing,0.22542955233384854,181
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.23302733465699077,181
