Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.22082237973723162,181
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.007586916849537939,216
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.18462218032573485,213
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.17898564421755137,75
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.17719915063059688,181
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.005390061043981209,216
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.20685424982331968,213
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.12784245038511854,75
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.184548491718452,181
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.055554768175548164,216
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.18076151448406264,213
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15988535068639886,75
BiomedParse (SPARRA),Radiomics,Wound Healing,0.0035583275403390235,181
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.36348331079097695,216
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.06101873297756044,213
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.11784547533715317,75
BiomedParse (ABMIL),Radiomics,Wound Healing,0.08030129560522836,181
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.3997902575281116,216
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.06531392890899224,213
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.09997527286191132,75
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.30635830391003804,181
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.13688365531889102,216
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.22617856641476342,213
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2516348588242062,75
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2967456537022206,181
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.13368182949265262,216
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21934639591986815,213
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19895856744101514,75
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2816613426963557,181
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.07545330297974728,216
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.21897829823165726,213
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.22021849226696055,75
BiomedParse (MEAN),Radiomics,Wound Healing,0.06510517296542528,181
BiomedParse (MEAN),Radiomics,Inflammatory,-0.36007290468925346,216
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.04230797324233038,213
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.12356801340794132,75
FMCIB (MEAN),Radiomics,Wound Healing,0.04559034054832256,181
FMCIB (MEAN),Radiomics,Inflammatory,-0.749859501625354,216
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.0661536169261081,213
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.009063427475387908,75
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.303124937115122,181
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.1734348517954275,216
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2242308757148882,213
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1938798936425432,75
pyradiomics (MEAN),Radiomics,Wound Healing,-0.03872639852975035,181
pyradiomics (MEAN),Radiomics,Inflammatory,-0.49306026166736605,216
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.014170050179478144,213
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.01633520128139243,75
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.15815530071291328,181
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.17364567433260103,216
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.21103362764127853,213
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.17777065790679691,75
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.24367362244215462,181
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.1077386634202071,216
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.17806068718442847,213
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.36500063256593773,75
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.26345041457229945,181
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.03817607708762194,216
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.19710457643883073,213
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2701603085286204,75
