Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2183594300181685,181
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.00432391386213582,216
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.15372034653893996,213
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.18447495040032802,75
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.16485865752388074,181
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.040321548318439815,216
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.18135733815306332,213
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.146973313808746,75
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.17593094218486893,181
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.0022064912552719473,216
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.13940223344123348,213
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15997524885588155,75
BiomedParse (SPARRA),Radiomics,Wound Healing,0.097818358918774,181
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.10563998887056658,216
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1147340497263093,213
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.09922670828742208,75
BiomedParse (ABMIL),Radiomics,Wound Healing,0.07120591154491074,181
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.15645094649976743,216
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.04621445655116141,213
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.0573706834995682,75
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.20732144857420864,181
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.07635851472193134,216
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.168773758816804,213
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.271083222360614,75
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.204253935109593,181
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.07601083620644578,216
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17510558530701947,213
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19062491006713134,75
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.15729640107243958,181
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.04515800858758967,216
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1625851671816333,213
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1647179367790199,75
BiomedParse (MEAN),Radiomics,Wound Healing,0.15368019019254098,181
BiomedParse (MEAN),Radiomics,Inflammatory,-0.07306925701807532,216
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.0950027161349577,213
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.09360327786959088,75
FMCIB (MEAN),Radiomics,Wound Healing,0.12954958128539962,181
FMCIB (MEAN),Radiomics,Inflammatory,-0.19155945657928308,216
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.006442365082317547,213
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.0006653304347707945,75
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.19957632898567557,181
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.07933607553979483,216
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.15736601350950474,213
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.22338772475518665,75
pyradiomics (MEAN),Radiomics,Wound Healing,-0.37357425711016967,181
pyradiomics (MEAN),Radiomics,Inflammatory,-0.12419111988851439,216
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.03995201361689393,213
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.004218179637568098,75
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.1957007840062177,181
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.0716883422467689,216
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.15188358139754943,213
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.22745717411001043,75
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.20944537597926194,181
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.08919229461962053,216
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.16619131453805214,213
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.349565681228311,75
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.22085786345235048,181
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.05461817578516104,216
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16581101999912295,213
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2820360455130564,75
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1956939035604961,181
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.02475741224009731,216
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.16728060438183268,213
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.19000942387997832,75
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.192490087463573,181
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.027629606456290312,216
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.15456777169646196,213
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.33979611880064287,75
CHIEF (SPARRA),Pathomics,Wound Healing,0.20395874310427298,181
