Model,Omics,Subtype,R2,N
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.049829698020136814,213
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.255251892006893,213
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.25561814145157735,213
LVMMed (SPARRA),Radiomics,Inflammatory,-0.3113057173530762,216
UNI (MEAN),Pathomics,Inflammatory,0.13012243841079763,216
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.14733287144058915,216
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.16068754660525641,75
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.3024592393765245,75
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.36261952255389074,75
BiomedParse (ABMIL),Radiomics,Wound Healing,0.08864561450461539,181
UNI (MEAN),Pathomics,Wound Healing,0.31298465430893363,181
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.3402387655784569,181
