Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2388108701102165,181
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.007460685414154566,216
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.1952201639318073,213
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.19820535638111048,75
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.20243743556305704,181
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.01907829316813714,216
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.22885305096687836,213
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.16666974321845296,75
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2217917594643709,181
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.08543401021018027,216
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2130376779871923,213
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.21012202315801853,75
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.014829731634720122,181
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.41198331082102957,216
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04462553758871213,213
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.1548716681700033,75
BiomedParse (ABMIL),Radiomics,Wound Healing,0.08864561450461539,181
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.4685200031200323,216
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.049829698020136814,213
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.15039642785584106,75
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3282680044662376,181
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.10241293917563832,216
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.24504428922412436,213
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2622394088219858,75
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.32144283809895,181
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.13651989210489424,216
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.231934688837242,213
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21895928757416305,75
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3172038411688163,181
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.02639150062400908,216
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24117705300654235,213
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2562278300516505,75
BiomedParse (MEAN),Radiomics,Wound Healing,0.0431716537748954,181
BiomedParse (MEAN),Radiomics,Inflammatory,-0.46960381405726803,216
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.021279172393595003,213
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.16068754660525641,75
FMCIB (MEAN),Radiomics,Wound Healing,0.020365503013199282,181
FMCIB (MEAN),Radiomics,Inflammatory,-0.8995701263293108,216
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.09244599260075681,213
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.04568592097268409,75
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.32183320119847714,181
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.14733287144058915,216
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.24331244051487444,213
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.19550671285322496,75
pyradiomics (MEAN),Radiomics,Wound Healing,0.05870479353422109,181
pyradiomics (MEAN),Radiomics,Inflammatory,-0.6000980424499249,216
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.010181201277263963,213
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.04527657421524234,75
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.24564369282451137,181
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.1428410274743892,216
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2280556601990662,213
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1787959197654574,75
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.2618956207340499,181
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.09242359685856172,216
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.17438898212601284,213
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.36261952255389074,75
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2973123712029947,181
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.02185484473830457,216
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.20010924991580592,213
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.27803608931572343,75
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.29770852010016546,181
