Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.7734916248856462,0.7141866061365733,0.8308994671506988,161,24
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.8470687402105584,0.7792617397873395,0.9072639615790696,161,24
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.8423046570266917,0.7730185207066927,0.9037158983290781,161,24
BiomedParse (ABMIL),Radiomics,Inflammatory,0.7981855062276609,0.722646704147966,0.8634595710776803,112,26
UNI (SPARRA),Pathomics,Inflammatory,0.8639340409023705,0.8173103304615229,0.9063806838793439,112,26
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.8582197638756354,0.8090418426296069,0.9079545364245778,112,26
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.7446411028657306,0.6583540221778144,0.8216300920828746,63,27
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.7527176996435027,0.6796729850467634,0.8175975756008933,63,27
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7610146819760839,0.6874180327868852,0.8307224976741232,63,27
LVMMed (MEAN),Radiomics,Wound Healing,0.6880275170393226,0.5878283457559239,0.7807582841288662,129,23
CONCH (ABMIL),Pathomics,Wound Healing,0.7305469449064069,0.6554397446189114,0.8052021087331903,129,23
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.7312433867104345,0.6332245558615829,0.8185504060681171,129,23
