Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.7848916467048277,0.6895801303289917,0.8685671745773665,161,24
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7610146819760839,0.6874180327868852,0.8307224976741232,63,27
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.6853772001708899,0.5863915686472866,0.777197709080856,129,23
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.824438442395659,0.7634869870985315,0.8820275973740348,112,26
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7928690129191928,0.7021387906336993,0.8761269217726755,161,24
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7325242697456533,0.6436854499501039,0.8134633301316785,63,27
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.7307434562580506,0.6270677940064284,0.8256326162727088,129,23
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.7797411864251357,0.7010467296600519,0.858814096827999,112,26
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.758270376353034,0.6685172447949934,0.8420464715389052,161,24
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.6819844808130449,0.5887501126430567,0.7639316901618335,63,27
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.6561634151123368,0.5479593842122503,0.7529782780476112,129,23
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.7871684902405942,0.7110905235374957,0.860866553396902,112,26
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.7734916248856462,0.7141866061365733,0.8308994671506988,161,24
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.5761140783816474,0.48442830704351414,0.6618636194723152,63,27
BiomedParse (MEAN),Radiomics,Wound Healing,0.6626170896608291,0.5575503464813347,0.7633482070726111,129,23
BiomedParse (MEAN),Radiomics,Inflammatory,0.7540193117219832,0.6716464379529702,0.8319309914966683,112,26
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.8423046570266917,0.7730185207066927,0.9037158983290781,161,24
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6905902585887799,0.6006993961885807,0.7715559002857114,63,27
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.7013843899236838,0.6094409628727864,0.7870251106597436,129,23
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.799529712302892,0.7290575480910039,0.8710206820352611,112,26
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7938831245013817,0.7180434082250112,0.8597137952913192,161,24
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7105020447324917,0.6162265116048835,0.7993922838435195,63,27
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.6119189600513008,0.5131951705321353,0.7062313905606588,129,23
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.8582197638756354,0.8090418426296069,0.9079545364245778,112,26
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.81608099050998,0.7471324065403337,0.8760811448595109,161,24
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.7018702623799818,0.616431997898695,0.7815333603320846,63,27
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.613705259905919,0.4957212504931708,0.7169024582131371,129,23
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.8305403751374458,0.7735517921825161,0.8893499045879373,112,26
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.6651926247539376,0.5752209941630385,0.7462556688529792,161,24
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.7446411028657306,0.6583540221778144,0.8216300920828746,63,27
BiomedParse (ABMIL),Radiomics,Wound Healing,0.5579593999715315,0.45928839117747267,0.6562894955046776,129,23
BiomedParse (ABMIL),Radiomics,Inflammatory,0.7981855062276609,0.722646704147966,0.8634595710776803,112,26
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.7610211812848743,0.6926630905723773,0.8221918558908535,161,24
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.6955297811106417,0.6060999599893305,0.7738417095663123,63,27
BiomedParse (SPARRA),Radiomics,Wound Healing,0.675556697605539,0.5676324412967558,0.768490308758243,129,23
BiomedParse (SPARRA),Radiomics,Inflammatory,0.7474209099387275,0.6657356920488072,0.8234711117120006,112,26
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.8117701182599324,0.7392438509002925,0.8729735263272967,161,24
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.706994246940432,0.6244170674184217,0.7828864812752618,63,27
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.6140021200495582,0.4995644940468082,0.72013766997191,129,23
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.8292693506439153,0.7752326037939042,0.8864276074802391,112,26
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,0.7532974849511012,0.6971327585544352,0.8101865674925668,161,24
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.6115934055683874,0.5228044693195227,0.6992354089514681,63,27
FMCIB (MEAN),Radiomics,Wound Healing,0.6506305969927305,0.5440187379640548,0.7426491471044622,129,23
FMCIB (MEAN),Radiomics,Inflammatory,0.7363886636708723,0.6511099281726169,0.8170986054927912,112,26
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.7969419255906399,0.7366982836784794,0.8551873300395718,161,24
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6982136810725579,0.6137732909985302,0.7822164167873737,63,27
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.6109395799024006,0.499910394265233,0.7142249585426327,129,23
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.8322050614109943,0.7632934094284388,0.8986966362192076,112,26
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.7596271241825254,0.6769338901642377,0.8331846635367762,161,24
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.6888107307307744,0.598877577125276,0.774846296852206,63,27
pyradiomics (MEAN),Radiomics,Wound Healing,0.6603080174048082,0.5729335709234377,0.7419976200493573,129,23
pyradiomics (MEAN),Radiomics,Inflammatory,0.6641957832985127,0.5730298670154785,0.7507042317816752,112,26
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.8218118293329273,0.7518596118136078,0.8810139489411886,161,24
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7199924360761689,0.6383657148499781,0.8046806335740762,63,27
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.7233814873877586,0.6261977989154851,0.814094158262518,129,23
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.7939074116850672,0.7310432226374018,0.8571555895085307,112,26
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7731507207981971,0.6903179112554112,0.852205581047531,161,24
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7081435225193216,0.6190388088630457,0.7916078013998902,63,27
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.6610170774474262,0.5556863695853753,0.7614516984693158,129,23
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.7938734086354411,0.7243522249744787,0.8622579599940238,112,26
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.8120282855018998,0.7382383441534014,0.8795112831556566,161,24
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.6807840046000548,0.5912357941421048,0.7591617101256185,63,27
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.6612472037642146,0.5459946188411675,0.7618518728137897,129,23
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7589225263852719,0.6820790411190049,0.833096152310477,112,26
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.8257661597208769,0.7575873479996287,0.8878522432126446,161,24
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.7281497320299813,0.6391782908897773,0.8095330559408229,63,27
CHIEF (ABMIL),Pathomics,Wound Healing,0.7143911242033124,0.6085177630850207,0.8120285570616945,129,23
CHIEF (ABMIL),Pathomics,Inflammatory,0.8071329758018667,0.7488978035386443,0.8608667899653815,112,26
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.8159397498251842,0.7411670305703474,0.8846429737896083,161,24
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.7084093408773963,0.6236394418162675,0.7876568067148924,63,27
CHIEF (MEAN),Pathomics,Wound Healing,0.6927436713325169,0.5805716264667535,0.795839874411303,129,23
CHIEF (MEAN),Pathomics,Inflammatory,0.7527621979138805,0.6821860139860141,0.818107762772503,112,26
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.8267660086512906,0.7634650604867319,0.8830603016125754,161,24
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7279445649998524,0.6388533901313453,0.807098651497496,63,27
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.671533725491989,0.5715471908653353,0.7676706199593758,129,23
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.7924289663424281,0.7236081629411425,0.8554201031025029,112,26
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7807047280177717,0.7035405706191826,0.8534506678403306,161,24
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6782060041978427,0.587495928617097,0.7646128879478464,63,27
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.5805611643470743,0.4732050910244976,0.6795739295925425,129,23
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.7691608137775409,0.6785652422164868,0.8580261669199726,112,26
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.7623592628575423,0.6851249756392082,0.8308745342453208,161,24
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.6942087861953289,0.6076131029766645,0.7750027839643653,63,27
CHIEF (SPARRA),Pathomics,Wound Healing,0.5765152085397678,0.47358734629916266,0.6753810488035663,129,23
CHIEF (SPARRA),Pathomics,Inflammatory,0.8067012843344562,0.7416884117060796,0.8697696353813903,112,26
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.805835290087365,0.7237387667132926,0.8780921668463902,161,24
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.7050796142248764,0.6207463222967099,0.7773061757508907,63,27
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.6730364702550165,0.5635810180335822,0.7745174794359577,129,23
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7579699300555139,0.6865373219013996,0.8286139653670355,112,26
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.8470687402105584,0.7792617397873395,0.9072639615790696,161,24
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.695999206334739,0.6094282387937972,0.7722249724972498,63,27
UNI (ABMIL),Pathomics,Wound Healing,0.6885933704097286,0.5987966984232989,0.7721198512723936,129,23
UNI (ABMIL),Pathomics,Inflammatory,0.8075341528504731,0.7449218959686511,0.8683158211222585,112,26
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.7025594895919867,0.6036732882835506,0.798027387189851,161,24
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,0.6352160700696723,0.5275731314328286,0.7413448966770243,63,27
LVMMed (MEAN),Radiomics,Wound Healing,0.6880275170393226,0.5878283457559239,0.7807582841288662,129,23
LVMMed (MEAN),Radiomics,Inflammatory,0.6674827157249752,0.5617041203333419,0.7663574322272328,112,26
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.803625599575066,0.737391817847393,0.8654862591163749,161,24
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.7186433545872843,0.636723362486998,0.795711130725939,63,27
UNI (MEAN),Pathomics,Wound Healing,0.6214992778641617,0.507207497314855,0.725313092413183,129,23
UNI (MEAN),Pathomics,Inflammatory,0.8372955373264531,0.781731623157013,0.8934701980785336,112,26
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.8325444445062409,0.7671075045124414,0.8904068850809269,161,24
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7045409847972877,0.6155809378950949,0.7805958462319939,63,27
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.6743526043531302,0.5855086624826187,0.7598987255363373,129,23
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.8045824991377157,0.741881694255112,0.8641072121996011,112,26
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.8173815060982931,0.7492841651310819,0.8795612787205539,161,24
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7328906558157633,0.6435889923908148,0.8152608306680044,63,27
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.635345441304318,0.5316049393400879,0.7309445544041002,129,23
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.851215558378696,0.8006960003165323,0.8983291303087312,112,26
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.8091546849808886,0.7359364597277315,0.8744931150847955,161,24
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.7378294934831351,0.6513462906619438,0.8231832112617526,63,27
UNI (SPARRA),Pathomics,Wound Healing,0.637310202425084,0.5341537917528016,0.7326272912216871,129,23
UNI (SPARRA),Pathomics,Inflammatory,0.8639340409023705,0.8173103304615229,0.9063806838793439,112,26
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.8175857651433377,0.7526875327630956,0.8774497994257904,161,24
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.7162608215305052,0.6365726425918363,0.7917719020409654,63,27
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.6183636118674317,0.5058613391008577,0.7191058130649881,129,23
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.82133175154165,0.7630609535854883,0.8801976727201909,112,26
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.5905412449600961,0.4699898097826087,0.7107380915101184,161,24
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,0.623787301775388,0.5169576212292804,0.7201894269169637,63,27
LVMMed (ABMIL),Radiomics,Wound Healing,0.5857393775013693,0.47100646251935563,0.6964197191717276,129,23
LVMMed (ABMIL),Radiomics,Inflammatory,0.5735949811379641,0.47020129755085166,0.6671798568280745,112,26
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.6919948536028231,0.6196002924979593,0.7610197537758155,161,24
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.650906270076455,0.544748266028842,0.7541240699292238,63,27
LVMMed (SPARRA),Radiomics,Wound Healing,0.6403136863991186,0.5355945208401401,0.7376174331599898,129,23
