Model,Omics,CIndex_mean,CIndex_low,CIndex_high,N
BiomedParse (ABMIL),Radiomics,0.6693712542243148,0.6299532095016659,0.7079684521143677,517
BiomedParse (MEAN),Radiomics,0.6916087764677555,0.6510328272528187,0.7309203847068204,517
BiomedParse (SPARRA),Radiomics,0.7113963342967984,0.6753039595644997,0.7490695331009106,517
BiomedParse+CHIEF (ABMIL),Radiopathomics,0.7920119947612607,0.7586338903085853,0.8221301172405798,517
BiomedParse+CHIEF (MEAN),Radiopathomics,0.7879567439761492,0.7536800785587006,0.8180570638469445,517
BiomedParse+CHIEF (SPARRA),Radiopathomics,0.7822354893177556,0.748305837267016,0.8148302824940279,517
BiomedParse+CONCH (ABMIL),Radiopathomics,0.7765892399894764,0.7392589785465622,0.811829981563161,517
BiomedParse+CONCH (MEAN),Radiopathomics,0.7848461969965459,0.7518945860550557,0.8157638128781348,517
BiomedParse+CONCH (SPARRA),Radiopathomics,0.7825771993871592,0.7477602006144992,0.8150198989671683,517
BiomedParse+UNI (ABMIL),Radiopathomics,0.7840667983593096,0.7498758533665224,0.8149122234445609,517
BiomedParse+UNI (MEAN),Radiopathomics,0.7777986748887648,0.7422801182796952,0.812236858731915,517
BiomedParse+UNI (SPARRA),Radiopathomics,0.7868354909946288,0.7499702207566648,0.8198478668134389,517
CHIEF (ABMIL),Pathomics,0.7822842979804575,0.7504892498790366,0.8149047150831955,517
CHIEF (MEAN),Pathomics,0.7611708177609607,0.7251841676050562,0.7969324013201905,517
CHIEF (SPARRA),Pathomics,0.7370410298585284,0.6995347596034053,0.7731235818248356,517
CONCH (ABMIL),Pathomics,0.7812920152900843,0.7464784517038167,0.8151865537969152,517
CONCH (MEAN),Pathomics,0.762163469012569,0.7255443805667777,0.7997664872386752,517
CONCH (SPARRA),Pathomics,0.769769210734491,0.733642919218035,0.8046236397202026,517
FMCIB (MEAN),Radiomics,0.6997734918438883,0.6623957642125597,0.7333143737995342,517
FMCIB+CHIEF (MEAN),Radiopathomics,0.7845599427797274,0.7528714873062562,0.8158539400578327,517
FMCIB+CONCH (MEAN),Radiopathomics,0.7669747030012687,0.7307962037387549,0.8019296591971888,517
FMCIB+UNI (MEAN),Radiopathomics,0.7674897948597122,0.7347394200097522,0.8003622103222253,517
LVMMed (ABMIL),Radiomics,0.5909309932442216,0.5471412054559953,0.634250723278702,517
LVMMed (MEAN),Radiomics,0.6741461025712895,0.6339122647023577,0.7139027097578943,517
LVMMed (SPARRA),Radiomics,0.6519063862574339,0.6110424093250025,0.6933422286252306,517
LVMMed+CHIEF (ABMIL),Radiopathomics,0.7868991604559816,0.7504153354792515,0.819091137391381,517
LVMMed+CHIEF (MEAN),Radiopathomics,0.7750138460639786,0.740851060086753,0.8074282533204157,517
LVMMed+CHIEF (SPARRA),Radiopathomics,0.7832925756308035,0.7479890772669818,0.8167167781149909,517
LVMMed+CONCH (ABMIL),Radiopathomics,0.7630916237367737,0.7256958029703459,0.7976528467346666,517
LVMMed+CONCH (MEAN),Radiopathomics,0.7562572442885844,0.7203871348222626,0.7907163184588064,517
LVMMed+CONCH (SPARRA),Radiopathomics,0.7702694624202406,0.7375264470941709,0.8018804123864692,517
LVMMed+UNI (ABMIL),Radiopathomics,0.7813063191761603,0.7461626305307193,0.814694916480789,517
LVMMed+UNI (MEAN),Radiopathomics,0.7747479472723072,0.7406631946765484,0.806215710837222,517
LVMMed+UNI (SPARRA),Radiopathomics,0.7534458173224788,0.7153440854143843,0.7888026787683773,517
UNI (ABMIL),Pathomics,0.7725756235673732,0.740443216407768,0.8031772172338855,517
UNI (MEAN),Pathomics,0.7494426231673481,0.7129549484954166,0.7860641684620109,517
UNI (SPARRA),Pathomics,0.7646598189260481,0.7287240268182053,0.8000569305930424,517
pyradiomics (MEAN),Radiomics,0.6903857297379292,0.6535490853805451,0.7268140727840868,517
pyradiomics+CHIEF (MEAN),Radiopathomics,0.7788884407399769,0.7478681981128977,0.8086790295545716,517
pyradiomics+CONCH (MEAN),Radiopathomics,0.7768656214402676,0.7412075385951402,0.809410515207573,517
pyradiomics+UNI (MEAN),Radiopathomics,0.7669106659466915,0.733943953948868,0.7986627970694506,517
