Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.6709325072999719,0.6222954715776963,0.7216870658162748,263,68
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.649690805346764,0.5968200560698091,0.7018145274528808,263,68
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.6906439988362431,0.6364291281300304,0.7447153356842642,263,68
FMCIB (MEAN),Radiomics,Inflammatory,0.6309859220388007,0.5512528831168066,0.7009030064228126,306,46
CONCH (ABMIL),Pathomics,Inflammatory,0.6955078924094596,0.6255478195618609,0.7673645749247155,306,46
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.6927871301848454,0.6336390900704609,0.747306733300788,306,46
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.766614321675736,0.6819460598554693,0.8429766814720812,91,28
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.6950111044238554,0.5931492534776884,0.7860331011335927,91,28
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.7139035985059791,0.6293788829373061,0.7942850683884755,91,28
FMCIB (MEAN),Radiomics,Wound Healing,0.6906805867408434,0.6344484036005413,0.7404747242948877,210,59
CONCH (SPARRA),Pathomics,Wound Healing,0.6740700554175107,0.6147588669943356,0.7280070741065039,210,59
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.6916658972984657,0.6366533098560646,0.7431873096525804,210,59
