Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.64503911386767,0.5882898725375029,0.6967780783055023,263,68
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5981247096707456,0.4995941310385106,0.6929751583122659,91,28
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.6736307637230033,0.6184828843634618,0.7259813141151202,210,59
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.6458116273273443,0.58853591129076,0.7004421911524998,306,46
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.6305355414325753,0.5781123349262207,0.6827168474043682,263,68
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.5123927222741184,0.4102699614395396,0.6211061294777332,91,28
BiomedParse (MEAN),Radiomics,Wound Healing,0.6673384877834748,0.6163333230672745,0.719347039992398,210,59
BiomedParse (MEAN),Radiomics,Inflammatory,0.5847266179134103,0.5169049674567986,0.653315805664005,306,46
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.6478318475560191,0.5891743292229955,0.7048209931056517,263,68
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.6950111044238554,0.5931492534776884,0.7860331011335927,91,28
CONCH (ABMIL),Pathomics,Wound Healing,0.6524173324488289,0.5923241618253832,0.7095295649136959,210,59
CONCH (ABMIL),Pathomics,Inflammatory,0.6955078924094596,0.6255478195618609,0.7673645749247155,306,46
