Model,Omics,CIndex_mean,CIndex_low,CIndex_high,N
BiomedParse (ABMIL),Radiomics,0.6154564198589467,0.5854244511550813,0.6455787951107601,972
BiomedParse (MEAN),Radiomics,0.6389222852268907,0.6120889967808083,0.6659815157289496,972
BiomedParse (SPARRA),Radiomics,0.6249422179388703,0.5991322843430833,0.6534634125839434,972
BiomedParse+CHIEF (ABMIL),Radiopathomics,0.6437447195437035,0.6165958427753405,0.6700959202623228,972
BiomedParse+CHIEF (MEAN),Radiopathomics,0.64944797295198,0.6218789193003521,0.6780840215138537,972
BiomedParse+CHIEF (SPARRA),Radiopathomics,0.6443958748203208,0.6194091333830355,0.6718226290529524,972
BiomedParse+CONCH (ABMIL),Radiopathomics,0.6577498185423218,0.6327838132669779,0.6826891100486965,972
BiomedParse+CONCH (MEAN),Radiopathomics,0.6874617652643178,0.6634219509389842,0.71224231929504,972
BiomedParse+CONCH (SPARRA),Radiopathomics,0.6762234068098695,0.6492260014871245,0.702233104296845,972
BiomedParse+UNI (ABMIL),Radiopathomics,0.6514014098282664,0.6261661486018549,0.6773593727145003,972
BiomedParse+UNI (MEAN),Radiopathomics,0.6729296779749394,0.6474891202551734,0.6992670735311534,972
BiomedParse+UNI (SPARRA),Radiopathomics,0.6516871736973328,0.6241429641920017,0.6806307271381538,972
CHIEF (ABMIL),Pathomics,0.6359929595431326,0.6079417284978783,0.6641678468760894,972
CHIEF (MEAN),Pathomics,0.6495066221338928,0.6225988332583313,0.6770394801520152,972
CHIEF (SPARRA),Pathomics,0.6627356574071812,0.6357343238956393,0.6897802486558638,972
CONCH (ABMIL),Pathomics,0.7006786917002759,0.6730832677920309,0.7284906955015712,972
CONCH (MEAN),Pathomics,0.6804831408570297,0.6534052597657505,0.707449714538396,972
CONCH (SPARRA),Pathomics,0.6879133885904564,0.6599094019611063,0.7161988390682162,972
FMCIB (MEAN),Radiomics,0.6361074859902979,0.6062120832830397,0.6645682624278143,972
FMCIB+CHIEF (MEAN),Radiopathomics,0.6467260980013054,0.6198383555859986,0.6735249716088184,972
FMCIB+CONCH (MEAN),Radiopathomics,0.6647725119086465,0.6384559924278155,0.6892940072274624,972
FMCIB+UNI (MEAN),Radiopathomics,0.660409427888239,0.633910004116222,0.685944535798067,972
LVMMed (ABMIL),Radiomics,0.5762126755834533,0.5434360015624555,0.607595733614521,972
LVMMed (MEAN),Radiomics,0.6155604447688023,0.5855504796695394,0.6470087764987602,972
LVMMed (SPARRA),Radiomics,0.632649427394169,0.6056069408609881,0.6605196988292549,972
LVMMed+CHIEF (ABMIL),Radiopathomics,0.6413736083165594,0.6148604731638074,0.6694018621083815,972
LVMMed+CHIEF (MEAN),Radiopathomics,0.6578662545993594,0.6315258036913957,0.68398644786544,972
LVMMed+CHIEF (SPARRA),Radiopathomics,0.6623821598700848,0.6347352979209874,0.6879162776968984,972
LVMMed+CONCH (ABMIL),Radiopathomics,0.6759671009687231,0.6511061511192071,0.7009364026653968,972
LVMMed+CONCH (MEAN),Radiopathomics,0.6666116402893487,0.6397729299250297,0.691558776285994,972
LVMMed+CONCH (SPARRA),Radiopathomics,0.6814984206601417,0.6538548644455999,0.7091619029475302,972
LVMMed+UNI (ABMIL),Radiopathomics,0.6797437279417107,0.6536030411166491,0.7060170823804593,972
LVMMed+UNI (MEAN),Radiopathomics,0.6671482602863739,0.641599665032693,0.6928084948790145,972
LVMMed+UNI (SPARRA),Radiopathomics,0.6548748879694879,0.628267760676981,0.6824836649043132,972
UNI (ABMIL),Pathomics,0.6702560361495669,0.6424230713861651,0.6962004009515375,972
UNI (MEAN),Pathomics,0.6749715998155722,0.6491885795685278,0.7003096090998997,972
UNI (SPARRA),Pathomics,0.6810060053615825,0.6534980269419959,0.708774622104431,972
pyradiomics (MEAN),Radiomics,0.6112787772532838,0.5819502264440387,0.6398548680779914,972
pyradiomics+CHIEF (MEAN),Radiopathomics,0.649193686466296,0.6224901411800632,0.6754768276965614,972
pyradiomics+CONCH (MEAN),Radiopathomics,0.6839893254755952,0.6578977630446566,0.7104847479195883,972
pyradiomics+UNI (MEAN),Radiopathomics,0.6719249630240178,0.6453416704166415,0.6973813765226992,972
