Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.6506643674085864,0.5892409784777373,0.7116056283110442,267,95
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.6514780084897643,0.5907181453837753,0.7132041428786203,267,95
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.6894960863780117,0.6338559761428907,0.7435367354390189,267,95
LVMMed (SPARRA),Radiomics,Inflammatory,0.5357305559191566,0.46318841501711516,0.6060713694339666,311,73
CONCH (ABMIL),Pathomics,Inflammatory,0.6224142114938761,0.5491840008373183,0.6949501163930007,311,73
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.6457915172777736,0.5856847853225214,0.7048329261725693,311,73
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.5660493224594492,0.46149559357179887,0.6672262862338493,94,38
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.6594367172499973,0.5622265822416154,0.742743081249075,94,38
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.7020882887618793,0.614049905823071,0.7857826086017744,94,38
LVMMed (SPARRA),Radiomics,Wound Healing,0.6289305569860316,0.5656972380474121,0.6883769699626061,214,77
CONCH (ABMIL),Pathomics,Wound Healing,0.6601510198644367,0.5984659511703572,0.720492718191181,214,77
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.6247789203955908,0.5669881223136765,0.6832108116944532,214,77
