Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.6506643674085864,0.599572272292726,0.6996240825229029,267,95
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.5660493224594492,0.48433559312445196,0.6484467962552496,94,38
LVMMed (SPARRA),Radiomics,Wound Healing,0.6289305569860316,0.5741176434198364,0.6802289521045454,214,77
LVMMed (SPARRA),Radiomics,Inflammatory,0.5357305559191566,0.4780475720377421,0.5900248330225994,311,73
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.6514780084897643,0.6012355258597591,0.7018234795334775,267,95
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.6594367172499973,0.5803795505025305,0.7335613724941651,94,38
CONCH (ABMIL),Pathomics,Wound Healing,0.6601510198644367,0.6060950525524897,0.7144628321217666,214,77
CONCH (ABMIL),Pathomics,Inflammatory,0.6224142114938761,0.5573056082880086,0.6858108550846708,311,73
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.661356704752122,0.6084896360639258,0.7111013485578055,267,95
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5839786307900869,0.4910157570839251,0.6660978446380703,94,38
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.7015822907468754,0.653965799843236,0.7472012112899931,214,77
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5396103883054035,0.47731155981953477,0.6051447530635053,311,73
