Model,Omics,CIndex_mean,CIndex_low,CIndex_high,N
BiomedParse (ABMIL),Radiomics,0.6141854419586248,0.5890627098485052,0.6378795768472654,993
BiomedParse (MEAN),Radiomics,0.6016671602592732,0.5750334364184897,0.6280377797139421,993
BiomedParse (SPARRA),Radiomics,0.615555054933792,0.5895377381127309,0.6424115189113193,993
BiomedParse+CHIEF (ABMIL),Radiopathomics,0.6281498223373281,0.6028091730493378,0.6533285077490671,993
BiomedParse+CHIEF (MEAN),Radiopathomics,0.6363841930257453,0.6112081564759566,0.6618221026464566,993
BiomedParse+CHIEF (SPARRA),Radiopathomics,0.6451904196335606,0.6214741049426561,0.6701273188334919,993
BiomedParse+CONCH (ABMIL),Radiopathomics,0.6706429994433664,0.6466558627362775,0.6958416484462188,993
BiomedParse+CONCH (MEAN),Radiopathomics,0.6486353055717263,0.6231862202068795,0.6738324720721602,993
BiomedParse+CONCH (SPARRA),Radiopathomics,0.6614047437567141,0.6370510672749864,0.6864051193522268,993
BiomedParse+UNI (ABMIL),Radiopathomics,0.6562201421226463,0.6325855820938251,0.6806858022022614,993
BiomedParse+UNI (MEAN),Radiopathomics,0.6502378255191718,0.6267523609480455,0.674378822898724,993
BiomedParse+UNI (SPARRA),Radiopathomics,0.6593772307430357,0.6355072261621965,0.6839335143837104,993
CHIEF (ABMIL),Pathomics,0.6337526761087445,0.6099635024973025,0.6596528763763393,993
CHIEF (MEAN),Pathomics,0.6451196517605866,0.6200108127964723,0.6695547022681186,993
CHIEF (SPARRA),Pathomics,0.6559169303443996,0.6331016066425281,0.6800673506267028,993
CONCH (ABMIL),Pathomics,0.6781461839440506,0.6540607325700294,0.703120397707865,993
CONCH (MEAN),Pathomics,0.663646114171751,0.6392000282657732,0.6859617896435455,993
CONCH (SPARRA),Pathomics,0.6674128467321587,0.642635152250188,0.6916585439426651,993
FMCIB (MEAN),Radiomics,0.6136516955199705,0.5859267867526563,0.6399652664919129,993
FMCIB+CHIEF (MEAN),Radiopathomics,0.6603717975075308,0.6356586741585379,0.6866107213692635,993
FMCIB+CONCH (MEAN),Radiopathomics,0.6665623795120387,0.6420023000216128,0.6898330171875011,993
FMCIB+UNI (MEAN),Radiopathomics,0.6640073904395917,0.6389100259735732,0.688060750525631,993
LVMMed (ABMIL),Radiomics,0.559392291238969,0.5310130617045558,0.5864730613611225,993
LVMMed (MEAN),Radiomics,0.5939142647960304,0.5667823365470731,0.6223804485212394,993
LVMMed (SPARRA),Radiomics,0.6278999904958025,0.6027637827465318,0.6530952077701212,993
LVMMed+CHIEF (ABMIL),Radiopathomics,0.6286171114426712,0.6041446712550191,0.6549497731626585,993
LVMMed+CHIEF (MEAN),Radiopathomics,0.6509399545174623,0.6249536512558063,0.676508201472772,993
LVMMed+CHIEF (SPARRA),Radiopathomics,0.6636143447517971,0.640031742702631,0.6888929053838406,993
LVMMed+CONCH (ABMIL),Radiopathomics,0.6443152064215356,0.6187387406461923,0.6697406691621743,993
LVMMed+CONCH (MEAN),Radiopathomics,0.666064805460695,0.6426710207318959,0.6915412068873907,993
LVMMed+CONCH (SPARRA),Radiopathomics,0.6755450492201506,0.6522826811934536,0.6993714673171119,993
LVMMed+UNI (ABMIL),Radiopathomics,0.6509843503907309,0.6255812031732485,0.676670652558052,993
LVMMed+UNI (MEAN),Radiopathomics,0.6566048161175213,0.6328367510689827,0.6812071596148193,993
LVMMed+UNI (SPARRA),Radiopathomics,0.6592369819224562,0.6359648262885681,0.6825680608785305,993
UNI (ABMIL),Pathomics,0.6638731046783154,0.6398617466628059,0.6884254211657087,993
UNI (MEAN),Pathomics,0.6604529285856958,0.6366298152111955,0.6829855804986014,993
UNI (SPARRA),Pathomics,0.669271933417403,0.645909214002789,0.6923624265387281,993
pyradiomics (MEAN),Radiomics,0.6052271060331416,0.5793832431719127,0.6323846943511643,993
pyradiomics+CHIEF (MEAN),Radiopathomics,0.6718086603575507,0.6472352259502436,0.6965732706755947,993
pyradiomics+CONCH (MEAN),Radiopathomics,0.6869914898111593,0.6635882658231372,0.708469127214805,993
pyradiomics+UNI (MEAN),Radiopathomics,0.6759178807647687,0.6531541178150471,0.6977244594993413,993
