Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.668340207058372,0.6202753030434129,0.7131930068075788,267,102
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.6814922204198688,0.6391959541288956,0.7193071552397876,267,102
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.7036849649879191,0.6598386719578131,0.7430858083092474,267,102
BiomedParse (SPARRA),Radiomics,Inflammatory,0.7089784582924468,0.661020724066601,0.7525968058107103,309,91
CHIEF (ABMIL),Pathomics,Inflammatory,0.7119412471703256,0.6644751210475496,0.7607452982839124,309,91
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.7184988328823748,0.6736455229160626,0.7584383206138582,309,91
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.7112604307126453,0.6504459724068474,0.7698909562180976,94,45
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.7049145511622461,0.6319368643616764,0.7776947464688547,94,45
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.7081210742579326,0.6431218271840272,0.7705402989616218,94,45
FMCIB (MEAN),Radiomics,Wound Healing,0.6562324246962813,0.6085341157606525,0.7038229654079425,214,89
UNI (ABMIL),Pathomics,Wound Healing,0.6518749907459305,0.6000424973704314,0.7033190196674509,214,89
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.684641984642697,0.6376236831382255,0.7334306373278346,214,89
