Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.64697104377756,0.5970963624493622,0.694654355470985,267,102
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.6569763323785601,0.5648237911332273,0.7377914655027227,94,45
BiomedParse (SPARRA),Radiomics,Wound Healing,0.6317893996933326,0.5633400352564707,0.6943720437638289,214,89
BiomedParse (SPARRA),Radiomics,Inflammatory,0.7089784582924468,0.6511147757049536,0.7607628971772965,309,91
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.7036849649879191,0.6524082747991383,0.7489323993834904,267,102
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6802425540518819,0.6035686270410819,0.7575289341973744,94,45
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.6557762173435127,0.5977541874756166,0.7167735601646146,214,89
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.7092174993948506,0.6576600788988869,0.7553715166887028,309,91
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.663740783471486,0.6116326348743207,0.7173577547800867,267,102
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.7049145511622461,0.6172050498017014,0.7862707504775502,94,45
CONCH (ABMIL),Pathomics,Wound Healing,0.6319336493858627,0.5718700767733135,0.6952517302408836,214,89
CONCH (ABMIL),Pathomics,Inflammatory,0.7000784321032403,0.6468278300620625,0.7573802659013718,309,91
