Model,Omics,CIndex_mean,CIndex_low,CIndex_high,N
BiomedParse (ABMIL),Radiomics,0.6202605437894082,0.5968255874750991,0.6430404904755361,991
BiomedParse (MEAN),Radiomics,0.6587023035347448,0.6362777494557594,0.6795625837040951,991
BiomedParse (SPARRA),Radiomics,0.6642737866246746,0.6407662540888973,0.6871892993829163,991
BiomedParse+CHIEF (ABMIL),Radiopathomics,0.6719130948990083,0.6496703750002096,0.6938570266720475,991
BiomedParse+CHIEF (MEAN),Radiopathomics,0.6812367017827786,0.6594466682561672,0.703555595443623,991
BiomedParse+CHIEF (SPARRA),Radiopathomics,0.674677464930742,0.6524299646236625,0.6981354338788214,991
BiomedParse+CONCH (ABMIL),Radiopathomics,0.6884179181675577,0.6672902179575007,0.7108590170152699,991
BiomedParse+CONCH (MEAN),Radiopathomics,0.693267227461728,0.671856271711775,0.7163794115980651,991
BiomedParse+CONCH (SPARRA),Radiopathomics,0.6923504824486214,0.671285543974268,0.714322443436,991
BiomedParse+UNI (ABMIL),Radiopathomics,0.6845579958628876,0.6624158751713113,0.7065759372681926,991
BiomedParse+UNI (MEAN),Radiopathomics,0.6820289167403546,0.6596825604585704,0.7056470493879736,991
BiomedParse+UNI (SPARRA),Radiopathomics,0.6802622055643277,0.6577776879926223,0.7035441243639355,991
CHIEF (ABMIL),Pathomics,0.6784152636974509,0.6562824564170611,0.7037573018320457,991
CHIEF (MEAN),Pathomics,0.6662017977628885,0.6441783204007115,0.6898472531089835,991
CHIEF (SPARRA),Pathomics,0.6786835358289366,0.6566249602452107,0.7018079624085921,991
CONCH (ABMIL),Pathomics,0.6942794812769888,0.6724374458874843,0.7163578898593035,991
CONCH (MEAN),Pathomics,0.6768418421838472,0.654308304297063,0.7005403358608092,991
CONCH (SPARRA),Pathomics,0.6704953569120229,0.6462778368975778,0.6935957125329145,991
FMCIB (MEAN),Radiomics,0.632196611222691,0.6085227447442818,0.6556774249633913,991
FMCIB+CHIEF (MEAN),Radiopathomics,0.6734676746788617,0.6509789693219433,0.6965352701210401,991
FMCIB+CONCH (MEAN),Radiopathomics,0.677296715609182,0.6541107773352166,0.6996476379562269,991
FMCIB+UNI (MEAN),Radiopathomics,0.6684012691449169,0.6446827757832606,0.6906606501645078,991
LVMMed (ABMIL),Radiomics,0.6192045888039225,0.5944053276864365,0.6427855445759187,991
LVMMed (MEAN),Radiomics,0.6404355467508539,0.6163422360307494,0.6650537996019196,991
LVMMed (SPARRA),Radiomics,0.63140236721655,0.6074165738195514,0.6551774124252594,991
LVMMed+CHIEF (ABMIL),Radiopathomics,0.6620611291963373,0.6399216441190924,0.6851922201160919,991
LVMMed+CHIEF (MEAN),Radiopathomics,0.6794676375625184,0.6577052608240375,0.7018448860770956,991
LVMMed+CHIEF (SPARRA),Radiopathomics,0.6696089786078352,0.647453466758439,0.6933086543096094,991
LVMMed+CONCH (ABMIL),Radiopathomics,0.6708726870558771,0.6480915748233164,0.694067184824069,991
LVMMed+CONCH (MEAN),Radiopathomics,0.6793600605345723,0.656295424910448,0.7031600155836373,991
LVMMed+CONCH (SPARRA),Radiopathomics,0.6817371550734406,0.659813452327163,0.7050732563415208,991
LVMMed+UNI (ABMIL),Radiopathomics,0.6820719921486352,0.6605156940603423,0.7042702931387296,991
LVMMed+UNI (MEAN),Radiopathomics,0.6784954123773194,0.6570145153051306,0.700163185756752,991
LVMMed+UNI (SPARRA),Radiopathomics,0.6794781254470237,0.6559198697094356,0.7026796084593666,991
UNI (ABMIL),Pathomics,0.6903352437758001,0.6674848106738028,0.7131084974786333,991
UNI (MEAN),Pathomics,0.6867829731425026,0.6639932101764355,0.7082136622774542,991
UNI (SPARRA),Pathomics,0.6904528337097693,0.6673534228149035,0.7124320121307179,991
pyradiomics (MEAN),Radiomics,0.6008278764015906,0.576673941000179,0.6238736433766868,991
pyradiomics+CHIEF (MEAN),Radiopathomics,0.6689916571621237,0.647499155463675,0.691568757021551,991
pyradiomics+CONCH (MEAN),Radiopathomics,0.6875704969172608,0.6663941836905903,0.7096162875542908,991
pyradiomics+UNI (MEAN),Radiopathomics,0.6691131049670808,0.6471984883160378,0.6914831970738663,991
