"outcome_id","big_task","subtask","class_label","comparison","p_value","estimate","conf_low","conf_high","statistic","parameter","method","log2_p"
"phenotype | ImmuneSubtype | Class 1","phenotype","ImmuneSubtype","Class 1","radiomics vs pathomics",0.121950422700127,-0.149124815955331,-0.36067405960736,0.062424427696697,-1.95716542482061,4,"Paired t-test",3.03563333612743
"phenotype | ImmuneSubtype | Class 1","phenotype","ImmuneSubtype","Class 1","radiomics vs radiopathomics",0.123713922532674,-0.128266372240035,-0.311396214933537,0.0548634704534669,-1.9446559672055,4,"Paired t-test",3.01492022724418
"phenotype | ImmuneSubtype | Class 1","phenotype","ImmuneSubtype","Class 1","pathomics vs radiopathomics",0.181690191274952,0.0208584437152964,-0.0150086327670702,0.056725520197663,1.6146374233721,4,"Paired t-test",2.46044755853468
"phenotype | ImmuneSubtype | Class 2","phenotype","ImmuneSubtype","Class 2","radiomics vs pathomics",0.0369399167727429,-0.142476013201824,-0.270919703087755,-0.0140323233158934,-3.07976849476691,4,"Paired t-test",4.75867557390609
"phenotype | ImmuneSubtype | Class 2","phenotype","ImmuneSubtype","Class 2","radiomics vs radiopathomics",0.0431981547737716,-0.138912691167193,-0.270948628911134,-0.00687675342325257,-2.92104913276693,4,"Paired t-test",4.53288650135785
"phenotype | ImmuneSubtype | Class 2","phenotype","ImmuneSubtype","Class 2","pathomics vs radiopathomics",0.352760035981083,0.00356332203463094,-0.0058543698175576,0.0129810138868195,1.05050878459093,4,"Paired t-test",1.50324096697857
"phenotype | ImmuneSubtype | Class 3","phenotype","ImmuneSubtype","Class 3","radiomics vs pathomics",0.00462012237303034,-0.216489664787753,-0.321557089421918,-0.111422240153589,-5.72081853361064,4,"Paired t-test",7.75785321989827
"phenotype | ImmuneSubtype | Class 3","phenotype","ImmuneSubtype","Class 3","radiomics vs radiopathomics",0.00669729227330505,-0.182129083894721,-0.280124418168899,-0.0841337496205418,-5.16015795281487,4,"Paired t-test",7.22220635527905
"phenotype | ImmuneSubtype | Class 3","phenotype","ImmuneSubtype","Class 3","pathomics vs radiopathomics",0.00258122124672093,0.0343605808930327,0.0201229007008059,0.0485982610852595,6.70054849836409,4,"Paired t-test",8.59773047881056
"phenotype | ImmuneSubtype | Class 4","phenotype","ImmuneSubtype","Class 4","radiomics vs pathomics",0.0318407605031219,-0.193875164845677,-0.360296925659336,-0.0274534040320177,-3.23445533699109,4,"Paired t-test",4.97298139531968
"phenotype | ImmuneSubtype | Class 4","phenotype","ImmuneSubtype","Class 4","radiomics vs radiopathomics",0.0421365312042088,-0.191768130536053,-0.372498961104315,-0.0110372999677915,-2.94600365463743,4,"Paired t-test",4.56878463737719
"phenotype | ImmuneSubtype | Class 4","phenotype","ImmuneSubtype","Class 4","pathomics vs radiopathomics",0.901360629134982,0.00210703430962366,-0.0422129509231116,0.0464270195423589,0.131996097578063,4,"Paired t-test",0.149823659469321
"phenotype | MolecularSubtype | Class 1","phenotype","MolecularSubtype","Class 1","radiomics vs pathomics",0.00291450967985585,-0.319417894103492,-0.456166614760585,-0.1826691734464,-6.48522519505,4,"Paired t-test",8.42253109143873
"phenotype | MolecularSubtype | Class 1","phenotype","MolecularSubtype","Class 1","radiomics vs radiopathomics",0.0130792683864524,-0.341165719668008,-0.563648452532566,-0.118682986803449,-4.25753441733462,4,"Paired t-test",6.25657434655012
"phenotype | MolecularSubtype | Class 1","phenotype","MolecularSubtype","Class 1","pathomics vs radiopathomics",0.544272242617836,-0.021747825564515,-0.112984570185289,0.0694889190562589,-0.66181278264881,4,"Paired t-test",0.877599633064148
"phenotype | MolecularSubtype | Class 2","phenotype","MolecularSubtype","Class 2","radiomics vs pathomics",0.00354837079185179,-0.502995169082126,-0.730116876963361,-0.27587346120089,-6.14885511457351,4,"Paired t-test",8.13862751075727
"phenotype | MolecularSubtype | Class 2","phenotype","MolecularSubtype","Class 2","radiomics vs radiopathomics",0.000420647911449738,-0.492171548258505,-0.618989594915184,-0.365353501601826,-10.7751800481464,4,"Paired t-test",11.2150991983472
"phenotype | MolecularSubtype | Class 2","phenotype","MolecularSubtype","Class 2","pathomics vs radiopathomics",0.918015586159283,0.0108236208236208,-0.263401434904736,0.285048676551978,0.109585861789475,4,"Paired t-test",0.123409446821462
"phenotype | MolecularSubtype | Class 3","phenotype","MolecularSubtype","Class 3","radiomics vs pathomics",0.00365767535293737,-0.469177489177489,-0.682784290606032,-0.255570687748946,-6.09833364192572,4,"Paired t-test",8.0948572542699
"phenotype | MolecularSubtype | Class 3","phenotype","MolecularSubtype","Class 3","radiomics vs radiopathomics",0.0165517287203604,-0.43952380952381,-0.746980623571385,-0.132066995476234,-3.96905735639815,4,"Paired t-test",5.9168742847637
"phenotype | MolecularSubtype | Class 3","phenotype","MolecularSubtype","Class 3","pathomics vs radiopathomics",0.80562363171614,0.0296536796536796,-0.283530752097227,0.342838111404586,0.262886035762613,4,"Paired t-test",0.311822091706965
"phenotype | MolecularSubtype | Class 4","phenotype","MolecularSubtype","Class 4","radiomics vs pathomics",0.781837251982575,0.0384615384615385,-0.322090677333644,0.399013754256721,0.296174438879546,4,"Paired t-test",0.355059768932249
"phenotype | MolecularSubtype | Class 4","phenotype","MolecularSubtype","Class 4","radiomics vs radiopathomics",0.784680999549519,-0.0466666666666667,-0.490125978107448,0.396792644774115,-0.292174354895389,4,"Paired t-test",0.34982182802089
"phenotype | MolecularSubtype | Class 4","phenotype","MolecularSubtype","Class 4","pathomics vs radiopathomics",0.257826513934423,-0.0851282051282051,-0.264416236424086,0.0941598261676756,-1.31829094632883,4,"Paired t-test",1.95552746208455
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","radiomics vs pathomics",0.0034223102500165,-0.468774703557312,-0.678375570540938,-0.259173836573687,-6.2095507993959,4,"Paired t-test",8.1908137311845
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","radiomics vs radiopathomics",0.00197524033944838,-0.48695652173913,-0.674813961874664,-0.299099081603597,-7.19698964412227,4,"Paired t-test",8.98375607925352
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","pathomics vs radiopathomics",0.373900966300059,-0.0181818181818182,-0.0686626382763235,0.0322990019126872,-1,4,"Paired t-test",1.41927189522243
"phenotype | MolecularSubtype | Class 6","phenotype","MolecularSubtype","Class 6","radiomics vs pathomics",3.20497550162657e-05,-0.331144600102155,-0.375516041190126,-0.286773159014184,-20.72064331297,4,"Paired t-test",14.9293271453048
"phenotype | MolecularSubtype | Class 6","phenotype","MolecularSubtype","Class 6","radiomics vs radiopathomics",0.00148739503228128,-0.357927772431607,-0.48601660366475,-0.229838941198464,-7.75841892079775,4,"Paired t-test",9.39299642582179
