id,name,category,laterality,is_anchor,span,presence,voxtell_main,aliases,ts_total,ts_total_mr,tier,priority,modality,volume_ml,notes
vertebra_C1,C1 vertebra,bone,none,False,,,C1 vertebra,vertebra C1,vertebrae_C1,,in_vocab,3,CT/MR,,
vertebra_C2,C2 vertebra,bone,none,False,,,C2 vertebra,vertebra C2,vertebrae_C2,,in_vocab,3,CT/MR,,
vertebra_C3,C3 vertebra,bone,none,False,,,C3 vertebra,vertebra C3,vertebrae_C3,,in_vocab,3,CT/MR,,
vertebra_C4,C4 vertebra,bone,none,False,,,C4 vertebra,vertebra C4,vertebrae_C4,,in_vocab,3,CT/MR,,
vertebra_C5,C5 vertebra,bone,none,False,,,C5 vertebra,vertebra C5,vertebrae_C5,,in_vocab,3,CT/MR,,
vertebra_C6,C6 vertebra,bone,none,False,,,C6 vertebra,vertebra C6,vertebrae_C6,,in_vocab,3,CT/MR,,
vertebra_C7,C7 vertebra,bone,none,False,,,C7 vertebra,vertebra C7,vertebrae_C7,,in_vocab,3,CT/MR,,
vertebra_T1,T1 vertebra,bone,none,False,,,T1 vertebra,vertebra T1,vertebrae_T1,,in_vocab,3,CT/MR,,
vertebra_T2,T2 vertebra,bone,none,False,,,T2 vertebra,vertebra T2,vertebrae_T2,,in_vocab,3,CT/MR,,
vertebra_T3,T3 vertebra,bone,none,False,,,T3 vertebra,vertebra T3,vertebrae_T3,,in_vocab,3,CT/MR,,
vertebra_T4,T4 vertebra,bone,none,False,,,T4 vertebra,vertebra T4,vertebrae_T4,,in_vocab,3,CT/MR,,
vertebra_T5,T5 vertebra,bone,none,False,,,T5 vertebra,vertebra T5,vertebrae_T5,,in_vocab,3,CT/MR,,
vertebra_T6,T6 vertebra,bone,none,False,,,T6 vertebra,vertebra T6,vertebrae_T6,,in_vocab,3,CT/MR,,
vertebra_T7,T7 vertebra,bone,none,False,,,T7 vertebra,vertebra T7,vertebrae_T7,,in_vocab,3,CT/MR,,
vertebra_T8,T8 vertebra,bone,none,False,,,T8 vertebra,vertebra T8,vertebrae_T8,,in_vocab,3,CT/MR,,
vertebra_T9,T9 vertebra,bone,none,False,,,T9 vertebra,vertebra T9,vertebrae_T9,,in_vocab,3,CT/MR,,
vertebra_T10,T10 vertebra,bone,none,False,,,T10 vertebra,vertebra T10,vertebrae_T10,,in_vocab,3,CT/MR,,
vertebra_T11,T11 vertebra,bone,none,False,,,T11 vertebra,vertebra T11,vertebrae_T11,,in_vocab,3,CT/MR,,
vertebra_T12,T12 vertebra,bone,none,False,,,T12 vertebra,vertebra T12,vertebrae_T12,,in_vocab,3,CT/MR,,
vertebra_L1,L1 vertebra,bone,none,False,,,L1 vertebra,vertebra L1,vertebrae_L1,,in_vocab,3,CT/MR,,
vertebra_L2,L2 vertebra,bone,none,False,,,L2 vertebra,vertebra L2,vertebrae_L2,,in_vocab,3,CT/MR,,
vertebra_L3,L3 vertebra,bone,none,False,,,L3 vertebra,vertebra L3,vertebrae_L3,,in_vocab,3,CT/MR,,
vertebra_L4,L4 vertebra,bone,none,False,,,L4 vertebra,vertebra L4,vertebrae_L4,,in_vocab,3,CT/MR,,
vertebra_L5,L5 vertebra,bone,none,False,,,L5 vertebra,vertebra L5,vertebrae_L5,,in_vocab,3,CT/MR,,
vertebra_S1,S1 vertebra,bone,none,False,,,S1 vertebra,vertebra S1,vertebrae_S1,,in_vocab,3,CT/MR,,
vertebra_S2,S2 vertebra,bone,none,False,,,S2 vertebra,vertebra S2,,,in_vocab,3,CT/MR,,
vertebra_S3,S3 vertebra,bone,none,False,,,S3 vertebra,vertebra S3,,,in_vocab,3,CT/MR,,
vertebra_S4,S4 vertebra,bone,none,False,,,S4 vertebra,vertebra S4,,,in_vocab,3,CT/MR,,
vertebra_S5,S5 vertebra,bone,none,False,,,S5 vertebra,vertebra S5,,,in_vocab,3,CT/MR,,
spine,Spine,bone,none,True,C1-coccyx,obligatory,spine,vertebral column; lumbar spine; thoracic spine,,vertebrae,in_vocab,1,CT/MR,,"systemic anchor: cranio-caudal ruler; TS total_mr gives one merged class, use VoxTell per level if needed"
sacrum,Sacrum,bone,none,True,S1-S5,obligatory,sacrum,,sacrum,sacrum,in_vocab,1,CT/MR,,
coccyx,Coccyx,bone,none,False,,,coccyx,,,,near,3,CT/MR,,
hip,"Hip bone (ilium, ischium, pubis)",bone,bilateral,True,L5-coccyx,obligatory,{side} hip bone,{side} pelvis bone; {side} iliac bone,hip_left|hip_right,hip_left|hip_right,in_vocab,1,CT/MR,,
femur,Femur (proximal),bone,bilateral,False,,,{side} femur,,femur_left|femur_right,femur_left|femur_right,in_vocab,3,CT/MR,,
sternum,Sternum,bone,none,False,,,sternum,,sternum,,in_vocab,3,CT/MR,,
rib_cage,Rib cage,bone,bilateral,False,,,{side} rib cage,{side} ribs,rib_left_1|rib_right_1,,in_vocab,2,CT/MR,,TS gives 24 individual ribs; merge per side. ts entry lists first rib only as representative
scapula,Scapula,bone,bilateral,False,,,{side} scapula,,scapula_left|scapula_right,scapula_left|scapula_right,in_vocab,3,CT/MR,,
clavicle,Clavicle,bone,bilateral,False,,,{side} clavicle,,clavicula_left|clavicula_right,clavicula_left|clavicula_right,in_vocab,3,CT/MR,,
humerus,Humerus,bone,bilateral,False,,,{side} humerus,,humerus_left|humerus_right,humerus_left|humerus_right,in_vocab,3,CT/MR,,
spinal_cord,Spinal cord,nerve,none,False,,,spinal cord,,spinal_cord,spinal_cord,in_vocab,3,CT/MR,,
aorta,Aorta,vessel_artery,none,True,T4-L4,obligatory,aorta,thoracic aorta; abdominal aorta,aorta,aorta,in_vocab,1,CT/MR,,systemic anchor; bifurcation = L4 landmark
inferior_vena_cava,Inferior vena cava,vessel_vein,none,True,T8-L5,obligatory,inferior vena cava,IVC,inferior_vena_cava,inferior_vena_cava,in_vocab,1,CT/MR,,
superior_vena_cava,Superior vena cava,vessel_vein,none,False,,,superior vena cava,,superior_vena_cava,,in_vocab,3,CT/MR,,
iliac_artery,Common/external iliac artery,vessel_artery,bilateral,True,L4-S3,obligatory,{side} iliac artery,{side} common iliac artery; {side} external iliac artery,iliac_artery_left|iliac_artery_right,iliac_artery_left|iliac_artery_right,in_vocab,2,CT/MR,,
iliac_vein,Common/external iliac vein,vessel_vein,bilateral,True,L5-S3,obligatory,{side} iliac vein,,iliac_vena_left|iliac_vena_right,iliac_vena_left|iliac_vena_right,in_vocab,2,CT/MR,,
internal_iliac_artery,Internal iliac artery,vessel_artery,bilateral,False,,,{side} internal iliac artery,{side} hypogastric artery,,,near,2,CT/MR,,
internal_iliac_vein,Internal iliac vein,vessel_vein,bilateral,False,,,{side} internal iliac vein,,,,near,3,CT/MR,,
portal_vein,Portal vein,vessel_vein,none,False,,,portal vein,main portal vein,portal_vein_and_splenic_vein,portal_vein_and_splenic_vein,in_vocab,1,CT/MR,,TS merges portal + splenic vein; VoxTell separates
splenic_vein,Splenic vein,vessel_vein,none,False,,,splenic vein,,portal_vein_and_splenic_vein,portal_vein_and_splenic_vein,near,2,CT/MR,,
hepatic_veins,Hepatic veins,vessel_vein,none,False,,,hepatic veins,hepatic vein,,,in_vocab,1,CT/MR,,MSD Task08 in VoxTell training
hepatic_artery,Hepatic artery,vessel_artery,none,False,,,hepatic artery,common hepatic artery; proper hepatic artery,,,near,2,CT/MR,,
celiac_trunk,Coeliac trunk,vessel_artery,none,False,,,celiac trunk,coeliac artery,,,near,3,CT/MR,,
superior_mesenteric_artery,Superior mesenteric artery,vessel_artery,none,False,,,superior mesenteric artery,SMA,,,near,2,CT/MR,,
superior_mesenteric_vein,Superior mesenteric vein,vessel_vein,none,False,,,superior mesenteric vein,SMV,,,near,2,CT/MR,,
renal_artery,Renal artery,vessel_artery,bilateral,False,,,{side} renal artery,,,,in_vocab,2,CT/MR,,KiPA dataset in VoxTell training
renal_vein,Renal vein,vessel_vein,bilateral,False,,,{side} renal vein,,,,in_vocab,1,CT/MR,,KiPA dataset; key for RCC T3a
gonadal_vein,Gonadal vein,vessel_vein,bilateral,False,,,{side} gonadal vein,{side} testicular vein; {side} ovarian vein,,,ood,3,CT/MR,,
pulmonary_artery,Pulmonary artery,vessel_artery,none,False,,,pulmonary artery,main pulmonary artery,,,in_vocab,2,CT/MR,,
pulmonary_vein,Pulmonary veins,vessel_vein,none,False,,,pulmonary veins,,pulmonary_vein,,in_vocab,3,CT/MR,,
