name,train_volumes,source
1st left rib,4108,table10_train
1st right rib,4108,table10_train
a double/fenestrated right gonadal,1,table10_train
abdominal aorta,120,table10_train
abdominal aorta false lumen,120,table10_train
abdominal aorta segment 1,120,table10_train
abdominal aorta segment 1 false lumen,120,table10_train
abdominal tissue,533,table10_train
adrenal glands,140,table10_train
airways,162,table10_train
anterior choroidal part of the right internal carotid artery,1,table10_train
anterior communicating artery partially fenestrated,1,table10_train
anterior hippocampus,260,table10_train
aorta,5057,table10_train+table7_test
aorta vessel tree,56,table10_train
aorta with arch branches,110,table10_train
aorta with branches and coronary arteries,27,table10_train
aorta zone 0,50,table10_train
aorta zone 1,50,table10_train
aorta zone 2,50,table10_train
aorta zone 3,50,table10_train
aorta zone 4,50,table10_train
aorta zone 5,50,table10_train
aorta zone 6,50,table10_train
aorta zone 7,50,table10_train
aorta zone 8,50,table10_train
aorta zone 9,50,table10_train
aortic arch,135,table10_train
aortic arch false lumen,120,table10_train
aortic intimal tear,120,table10_train
aortic valve,27,table10_train
artery,250,table10_train
arytenoid cartilage,84,table10_train
ascending aorta,101,table10_train
ascending aorta false lumen,120,table10_train
atrium wall,10,table10_train
azygos,15,table10_train
azygos vein,2,table10_train
basal ganglia,30,table10_train
basilar artery,302,table10_train
biliary system,20,table10_train
bladder,126,table10_train
bones,2070,table10_train+table7_test
brachiocephalic artery,1812,table10_train
brachiocephalic vein,1,table10_train
brachiocephalic veins,15,table10_train
brain,4330,table10_train
brain lesion,655,table10_train
brain tumor,186,table10_train
brainstem,7360,table10_train+table7_test
bral veins,25,table10_train
breast lesion,1506,table10_train
bridge,532,table10_train
bronchi,583,table10_train
buccal mucosa,84,table10_train
c1 vertebra,4504,table10_train
c2 vertebra,4504,table10_train
c3 vertebra,4504,table10_train
c4 vertebra,4504,table10_train
c5 vertebra,4504,table10_train
c6 vertebra,4504,table10_train
c7 vertebra,4504,table10_train
calcification in left anterior descending,32,table10_train
calcification in left circumflex,32,table10_train
calcification in right coronary artery,32,table10_train
carpal left,1597,table10_train
carpal right,1597,table10_train
celiac artery,50,table10_train
celiac trunk,533,table10_train
celiac trunk / artery of the gut,120,table10_train
cerebellar vermis anterior,10,table10_train
cerebellar vermis inferior posterior,10,table10_train
cerebellar vermis superior posterior,10,table10_train
cerebellum,70,table10_train
cerebral microbleed,72,table10_train
cerebrospinal fluid,4133,table10_train
cervical esophagus,84,table10_train
cervix,949,table10_train
chiasma opticum,3636,table10_train+table7_test
clinically insignificant prostate lesion,140,table10_train
clinically significant prostate lesion,140,table10_train
cochlea,210,table10_train
coeliac trunk,1,table10_train
colon,3506,table10_train
colon cancer primaries,126,table10_train
colorectal liver metastases,171,table10_train
common bile duct,482,table10_train
common carotid artery,1,table10_train
common hepatic artery,1,table10_train
coronary artery,1000,table10_train
corpus callosum,10,table10_train
cortical gray matter,30,table10_train
covid,209,table10_train
cricopharyngeal inlet,84,table10_train
crown,532,table10_train
cystic component,261,table10_train
dc,3644,table10_train
